Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2611","Oranges, Mandarines","2017","2017","1000 tonnes","14126","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2612","Lemons, Limes and products","2014","2014","1000 tonnes","2072","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2612","Lemons, Limes and products","2015","2015","1000 tonnes","2013","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2612","Lemons, Limes and products","2016","2016","1000 tonnes","2195","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2612","Lemons, Limes and products","2017","2017","1000 tonnes","2152","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2613","Grapefruit and products","2014","2014","1000 tonnes","724","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2613","Grapefruit and products","2015","2015","1000 tonnes","616","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2613","Grapefruit and products","2016","2016","1000 tonnes","659","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2613","Grapefruit and products","2017","2017","1000 tonnes","660","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2614","Citrus, Other","2014","2014","1000 tonnes","182","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2614","Citrus, Other","2015","2015","1000 tonnes","192","A","Aggregate, may include official, semi-official, estimated or calculated data"
