Song,Singer,Lyrics
Tijolão,Jorge e Mateus,"Eu te conheci depois que a gente largou Será onde é que arrumou todo esse ódio de mim Agora eu to aqui, num bar de currutela Abrindo cerveja com dente, tentando te passar Pra frente quem dera  Porque você não me bloqueou Pra eu parar de chorar em cima da tela Eu vou trocar meu celular, num Nokia tijolão Que só manda mensagem e faz ligação Se eu ver mais um vídeo seu, sem eu sendo feliz Certeza que a minha vida vai tá por um triz  Me mata não, essa internet virou arma na sua mão"
Vou Ter Que Superar,Matheus e Kauan,"Fui bobo Imaturo demais Deixei escapar entre meus dedos  Seu amor, nosso apartamento, futuro perfeito Se eu pudesse tentava de novo ter você aqui  Quase morro Tentando encontrar o contato novo dela agora Eu sei que ela já tá em outra E que vai embora Mas se existe consideração eu sei que vai me ouvir  Só vou pedir desculpas O nosso pra sempre acabou E um novo amor veio com tudo Meu erro pesou na balança E não vamos mais ficar juntos Por que eu estraguei tudo  Vou ter que superar Suas fotos com ele viajando E as amigas comentando que são um belo casal  Vou ter que superar O dia do casamento Esperando que o tempo aos poucos possa me curar  Vou ter que superar Que a gente não vai mais voltar"
Todo Mundo Vai Sofrer,Marília Mendonça,"A garrafa precisa do copo O copo precisa da mesa A mesa precisa de mim E eu preciso da cerveja  Igual eu preciso dele na minha vida Mas quanto mais eu vou atrás, mais ele pisa Então já que é assim Se por ele eu sofro sem pausa Quem quiser me amar Também vai sofrer nessa bagaça  Quem eu quero, não me quer Quem me quer, não vou querer Ninguém vai sofrer sozinho Todo mundo vai sofrer  Quem eu quero, não me quer Quem me quer, não vou querer Ninguém vai sofrer sozinho Todo mundo vai sofrer  Igual eu preciso dele na minha vida Mas quanto mais eu vou atrás, mais ele pisa Então já que é assim Se por ele eu sofro sem pausa Quem quiser me amar Também vai sofrer nessa bagaça  Quem eu quero, não me quer Quem me quer, não vou querer Ninguém vai sofrer sozinho Todo mundo vai sofrer  Quem eu quero, não me quer Quem me quer, não vou querer Ninguém vai sofrer sozinho Todo mundo vai sofrer  Quem eu quero, não me quer Quem me quer, não vou querer Ninguém vai sofrer sozinho Todo mundo vai sofrer  Quem eu quero, não me quer Quem me quer, não vou querer Ninguém vai sofrer sozinho Todo mundo vai sofrer"
Milu,Gusttavo Lima,"Quem cai uma vez Vai cair três Só que eu to caindo pela décima vez E quando eu decido que vou te esquecer Cê fala que me ama só pra me prender  Se você sentisse amor do tanto que cê sabe fazer Se me desse amor do tanto que me dá prazer Mas você vem e vai E eu querendo algo mais  Cê fica Milu, Milu... me iludindo E eu fico no, fico no... bar caindo"
Supera,Marília Mendonça,"Tá de novo com essa pessoa Não tô acreditando Vai fazer papel de trouxa outra vez Cê não aprende mesmo  Pra você isso é amor Mas pra ele isso não passa de um plano B Se não pegar ninguém da lista, liga pra você Te usa e joga fora  Para de insistir, chega de se iludir O que cê tá passando, eu já passei e eu sobrevivi Se ele não te quer, supera Se ele não te quer, supera  Ele tá fazendo de tapete o seu coração Promete pra mim que dessa vez você vai falar não De mulher pra mulher, supera De mulher pra mulher, supera  Pra você isso é amor Mas pra ele isso não passa de um plano B Se não pegar ninguém da lista, liga pra você Te usa e joga fora  Para de insistir, chega de se iludir O que cê tá passando, eu já passei e eu sobrevivi Se ele não te quer, supera Se ele não te quer, supera  Ele tá fazendo de tapete o seu coração Promete pra mim que dessa vez você vai falar não De mulher pra mulher, supera De mulher pra mulher, supera  Se ele não te quer, supera De mulher pra mulher, supera"
Cheirosa,Jorge e Mateus,"Se eu dissesse que tá tudo bem Eu estaria mentindo pra vocês A marca de sol da aliança no meu dedo mostra Que ela me deixou tem menos de um mês  Na fronha ainda tem o cheiro do shampoo Na mente ainda tem ela usando aquele baby doll azul Por isso, essa gelada eu vou beber Em homenagem a saudade que eu tô da minha cheirosa  Que jurou na minha cara que a gente não tem mais volta Essa gelada eu vou beber Em homenagem a saudade que eu tô da minha cheirosa Se ela não voltar pra mim esse mundão pode acabar agora"
Liberdade Provisória,Henrique e Juliano,"No inicio foi assim Terminou tá terminado Cada um pro seu lado Não precisa ligar mais  Só que foi eu quem terminou E quem foi largado não espera Eu segui minha vida Até ela começar seguir a dela  E do meio pro final Eu so ia pra onde ela tava Cada beijo no rosto que outra Boca dava eu morria de raiva  E ela tava mais linda Cada vez que eu olhava O ciúmes não tava batendo Tava dando porrada  E eu implorei, pra voltar E ela me matou na unha Disse que eu tava solteiro Eu tava solteiro porra nenhuma  Implorei pra voltar Não me manda embora Sou preso da sua vida Era só liberdade provisória  Vai ter que me aceitar de volta AAh aah"
Some que ele vem atrás,Marília Mendonça,"Amiga do céu Meu boy me largou Parou de seguir E as fotos da gente apagou  Amiga do céu Meu clima acabou Nem quero sair Ai que raiva que eu tô  Você que entende do assunto Você que já sofreu muito Me diz o que fazer  Some, some Some que ele vem atrás Pianinho Bebe, dança Mostra que tá bem demais Faz charminho  Some que ele vem atrás Quanto mais cê some Mais saudade cê faz Some que ele vem atrás  Amiga do céu Meu boy me largou Parou de seguir A as fotos da gente apagou  Anitta do céu Meu clima acabou Nem quero sair Ai que raiva que eu tô  Você que entende do assunto Você que já sofreu muito Me diz o que fazer  Some, some Some que ele vem atrás Pianinho Bebe, dança Mostra que tá bem demais Faz charminho  Some que ele vem atrás Quanto mais cê some Mais saudade cê faz Some que ele vem atrás  Você que entende do assunto Você que já sofreu muito Me diz o que fazer  Some, some Some que ele vem atrás Pianinho Bebe, dança Mostra que tá bem demais Faz charminho  Some que ele vem atrás Quanto mais cê some Mais saudade cê faz Some que ele vem atrás"
Bebi a Bicicleta,Zé Neto e Cristiano,Cortaram minha luz Perdi o meu emprego A Minha geladeira É só ovo e gelo  Depois da sacanagem que ela fez comigo Fiquei com o coração e o bolso falido  Com o que aconteceu Até bala perdida tá tendo mais rumo que eu  Bebi minha bicicleta Bebi minha Tv Só não bebo o meu celular Porque eu preciso ligar pra você  Eu bebi minha bicicleta Bebi minha Tv Só não bebo o meu celular Porque eu preciso ligar pra você  Eu bebi minha bicicleta
Na Cama Que eu Paguei,Wesley Safadão,"Será que é pra tanto Será que eu mereço Não tá alto demais esse preço Essa troca com troco Quem tá julgando essa lei do retorno Fazer ela de besta Foi caçar pra cabeça  Eu tinha um lar, eu tinha uma casa Agora eu tô morando num motel de rodoviária Assistindo novela numa TV 14 polegadas, imagem chuviscada Bombril na antena Quem me vê dá até pena E ela tá lá  Na cama que eu paguei Fazendo o amor que a gente nunca fez Na cama que eu paguei Fazendo todo dia O que comigo era uma vez por mês  O coração aprende de uma vez Pra cada atual vai existir um ex"
Quando a bad bater,Luan Santana,"Amor, eu só quero o seu bem Se for embora agora, vai ficar sem ninguém Amor, eu quero um filho seu E eu não suporto a ideia de que nada valeu  Para pra ver o quanto a gente cresceu E tudo que eu te dei de bom Lembra da gente no seu quarto, no breu Debaixo do seu edredom  Não vai saber o que fazer Quando a bad bater e o silêncio trazer minha voz Não vai saber o que beber Se esse vinho não mata essa sede Sede que é de nós  Não vai saber o que fazer Quando a bad bater e o silêncio trazer minha voz Não vai saber o que beber Se esse vinho não mata essa sede Sede que é de nós  Amor, eu só quero o seu bem Se for embora agora, vai ficar sem ninguém Amor, eu quero um filho seu E eu não suporto a ideia de que nada valeu  Para pra ver o quanto a gente cresceu E tudo que eu te dei de bom Lembra da gente no seu quarto, no breu Debaixo do seu edredom  Não vai saber o que fazer Quando a bad bater e o silêncio trazer minha voz Não vai saber o que beber Se esse vinho não mata essa sede Sede que é de nós  Não vai saber o que fazer Quando a bad bater e o silêncio trazer minha voz Não vai saber o que beber Se esse vinho não mata essa sede Sede que é de nós  Vai ver quando a bad bater Quando essa bad bater E o silêncio trazer minha voz  Vai ver quando a bad bater Quando essa bad bater Vai ver que a sua sede é de nós"
Quem Traiu Levou,Gusttavo Lima,"Não tô jogando praga Se tratando de amor, aqui se faz, aqui se paga Vai preparando pra latada  E o que eu bebi, cê vai beber E o que eu sofri, cê vai sofrer Vai ver quanto custa amar alguém que não vale nada  Traição uma hora tem volta Ela vem e não bate na porta Tô aqui ansioso esperando sua vez chegar  Oh, oh, oh, oh, quem traiu levou Desde que o mundo é mundo isso é regra Vem na mesma moeda dobrado o valor Oh, oh, oh, oh, quem traiu levou O benzinho eu não quero o seu mal Só sei que no final vai sorrir quem chorou"
S de Saudade,Luiza e Maurílio,"Ah, olha eu aqui Na vida de solteiro que eu sempre quis Ah, eu consegui A liberdade de poder chegar e sair  Mas cê deve ter jogado praga em mim Eu não quero beber, eu não quero sair A vida de solteiro que eu sonhava não era assim  Sextou com S de saudade Cheio de balada na cidade Mas nenhuma delas tem o show Que cê dava na cama Nem o DJ toca sua voz Falando que me ama   Sextou com S de saudade"
3 Batidas,Guilherme e Benuto,"Eu tô rindo, mas é desespero Tô mais perdido que cego em tiroteio Rodando a cidade Com medo de voltar pra casa Olha que fase No passageiro umas garrafas E a saudade Tô enrolando na rua Bebendo uma por uma Madrugada com o vidro fechado Chorando com tudo que toca no rádio Parei no sinaleiro Pra esperar o sinal vermelho  Três batidas no meu vidro Quando vi era um bandido Falou perdeu Eu disse Eu perdi mesmo Mas foi o grande amor da minha vida  Três batidas no meu vidro Quando vi era um bandido Falou perdeu Eu disse Eu perdi mesmo Mas foi o grande amor da minha vida Só leva o carro e deixa as bebidas"
"Para, Pensa e Volta",Yasmin Santos,"Outra vez nós brigamos Por motivo idiota cê bateu a porta E me deixou chorando Disse tanta besteira que até não me ama E já tem outros planos E agora o que eu faço sem você aqui Tô sem rumo e rodando  Eu tô rodando a cidade Tô dentro do carro Pensando em você Morrendo de saudade Sofrimento em alta Tô indo no bar Pra afogar a vontade Que eu tô de te ouvir Te sentir e depois te ver batendo a porta  Eu tô rodando a cidade Tô dentro do carro Pensando em você Morrendo de saudade Tô lembrando da briga Ouvindo Marília Meu deus que vontade Que eu to de te ouvir Te sentir e depois te ver batendo a porta  Para, pensa e volta"
Relógio Parado,Diego e Arnaldo,"Ela não sabe ainda Mas eu vou ser o grande amor da sua vida Só falta ela se apaixonar Ah... essa hora vai chegar!  E na cabeça dela Eu só sou mais um Um esquema zé roela Que vai levar pra cama e pular fora Mal sabe ela o fim dessa história  Nós dois na cama, no meu quarto Me dá só meia hora de amor Com o relógio parado  Na cama, no quarto A gente dorme se pegando E acorda apaixonado  Na cama, no quarto Me dá só meia hora de amor Com o relógio parado  Na cama, no quarto A gente dorme se pegando E acorda apaixonado  Pedaços de amor pra todo lado!"
Estado Decadente,Zé Neto e Cristiano,E lá se vai mais uma noite Que eu to virando No vazio desse apartamento Já tô quase pirando Me Bate o desespero Empilhando garrafa Passa o tempo só você não passa  No estado decadente que eu tô A tristeza decora essa casa  Eu sei que ninguém morre de amor Mas cachaça e Saudade mata
Ferida Curada,Zé Neto e Cristiano,"Tão cheia de certeza Você duvidou Que não existia mais resquícios de amor Saiu perdida na vida Ficando por ficar E não contava que a saudade ia te encontrar  E agora tá aqui Mas fiquei sem você eu me acostumei Pensei que quando eu te encontrasse eu ia tremer Mas eu nem balancei  É que o frio na barriga, a saudade esquentou O amor que tinha, a distância zerou Não sobrou nada Você é a minha ferida curada   Preocupa não Que essa dor aí logo passa"
