Song,Singer,Lyrics
Apaixonadinha,Marília Mendonça,"Sabe por que fico mandando mensagem querendo te ver? Sabe por quê? Você me faz bem Eu não consigo pensar em ninguém  Ó que coisa boa! Tô sorrindo à toa Tô 100 de boa, de boa, de boa  Apaixonadinha você me deixou Apaixonadinha você me deixou Apaixonadinha você me deixou Vem ficar perto da sua menina  Apaixonadinho você me deixou Apaixonadinho você me deixou Apaixonadinho você me deixou Vem ficar perto aqui do seu pretinho  Ô meu neném, eu preciso do seu corpo Você me faz tão bem Tá tudo certo, tamo junto e misturado Vem, vem, vem  Apaixonadinha você me deixou Apaixonadinha você me deixou Apaixonadinha você me deixou Vem ficar perto da sua menina  Ó que coisa boa! Tô sorrindo à toa Tô 100 de boa, de boa, de boa  Apaixonadinha você me deixou Apaixonadinha você me deixou Apaixonadinha você me deixou Vem ficar perto da sua menina  Apaixonadinho você me deixou Apaixonadinho você me deixou Apaixonadinho você me deixou Vem ficar perto aqui do seu pretinho  Ô meu neném, eu preciso do seu corpo Você me faz tão bem Tá tudo certo, tamo junto e misturado Vem, vem, vem  Apaixonadinha você me deixou Apaixonadinha você me deixou Apaixonadinha você me deixou Vem ficar perto da sua menina  Apaixonadinho você me deixou Apaixonadinho você me deixou Apaixonadinho você me deixou Vem ficar perto aqui do seu pretinho"
Quarta Cadeira,Matheus e Kauan,"Tá viciando outra boca, como fez com a minha Esse frio na barriga já me pertenceu Ele só tá te amando desse jeito Porque ainda não te conheceu direito Mas o fim dessa história é sempre o mesmo  Ela vai dar sorrisos durante o beijo Você vai gostar Vai planejar uma vida deitada em seu peito Cê vai acreditar Vai te amarrar de um jeito Vai usar o mesmo beijo que usou pra te ganhar Pra se despedir sem se explicar  Tô numa mesa com quatro cadeiras Aqui já tem três enganados por ela Bebendo, esperando a rasteira que cê vai levar dela Fica tranquilo, que a quarta cadeira te espera  Tô numa mesa com quatro cadeiras Aqui já tem três enganados por ela Bebendo, esperando a rasteira que cê vai levar dela Fica tranquilo, que a quarta cadeira te espera  Não adianta se iludir Seu copo já tá cheio aqui pra te acudir  Tá viciando outra boca, como fez com a minha Esse frio na barriga já me pertenceu Ele só tá te amando desse jeito Porque ainda não te conheceu direito Mas o fim dessa história é sempre o mesmo  Ela vai dar sorrisos durante o beijo Você vai gostar Vai planejar a vida deitada em seu peito Cê vai acreditar Vai te amarrar de um jeito Vai usar o mesmo beijo que usou pra te ganhar Pra se despedir sem se explicar  Tô numa mesa com quatro cadeiras Aqui já tem três enganados por ela Bebendo, esperando a rasteira que você vai levar dela Fica tranquilo, que a quarta cadeira te espera  Eu tô numa mesa com quatro cadeiras Aqui já tem três enganados por ela Bebendo, esperando a rasteira que você vai levar dela Fica tranquilo, que a quarta cadeira te espera  Não adianta se iludir Seu copo já tá cheio aqui pra te acudir Não adianta se iludir Seu copo já tá cheio aqui pra te acudir Pra te acudir, pra te acudir"
Com ou Sem Mim,Gustavo Mioto,"Se você não me disser a verdade Não tem como eu ajudar, minha metade Se tem outro em meu lugar Se você quer colocar Te deixo livre pra viver Não prometo te esperar Coração vai cicatrizar E uma hora eu sei que vou te esquecer Se era medo de me machucar Já tem o meu perdão Tá esperando o que?  Só quero que você seja feliz Com ou sem mim E quando der saudade e for dormir Com ou sem mim E quando perceber que eu não tô E que não vai achar um novo amor Vai ter que aceitar que é assim Com ou sem Mim"
IGUAL ELA SO UMA,Wesley Safadão,"Tá mandando esse olhinho por quê? Não vê que eu tenho compromisso Meu status tá valendo o quê?  Cê quer pôr meu namoro em risco Já teve a sua oportunidade e não aproveitou Vacilou, não vingou nosso amor Agora tá pensando que é só dizer vem cá que eu vou  Cê quer ver eu trair meu bem Nananim nem vem Igual ela só uma Igual você tem 100  Cê quer ver eu trair meu bem Nananim nem vem Igual ela só uma Igual você tem 100  Cê quer ver eu trair meu bem Nananim nem vem Igual ela só uma Igual você tem 100  Cê quer ver eu trair meu bem Nananim nem vem Igual ela só uma Igual você tem 100"
Brisa,IZA,"Sente a vibração que o som chegou Bota o pé na areia e deixa a onda entrar Ta geral na pilha então ""demorô"" Vem que é da boa e tu vai gostar  Eu to na brisa E nada me abala Que delicia E hoje eu to de boa  Eu to na brisa E nada me abala Que delicia E assim eu canto  Yeah yeah yeah yeah Yeah yeah yeah yeah Se joga nessa brisa até o dia amanhecer  Yeah yeah yeah yeah Yeah yeah yeah yeah Se joga nessa brisa até o dia amanhecer  Então passa lá em casa, to fazendo vários nada Traz o isopor porque hoje a tarde vai da praia  Presta atenção Que hoje a missão É ficar suave, numa boa, tranquilão"
Tiro Certo,Zé Felipe,"Amar não tava nos meus planos Não tava procurando mas eu encontrei Agora tô aqui falando Foi o erro mais lindo que eu acertei  Você, você virou o meu mundo de ponta cabeça Se um dia do amor duvidei Hoje eu tenho certeza  Tiro certo bem na mosca Eu nem mirei quando acertei sua boca Tiro certo bem na mosca Era pra ser só uma noite eu acertei  ai ai ai ai ai ai Era pra ser só uma noite eu acertei foi uma vida toda ai ai ai ai ai ai Era pra ser só uma noite eu acertei Uma vida toda"
Pupila,Anavitória,"Como que eu vou dizer pra ela Que eu gosto do seu cheiro, da cor do seu cabelo Que ela faz minha pupila dilatar? Eu quero dizer pra ele Que a rima fez efeito Agora, eu penso o dia inteiro Só ele faz minha pupila dilatar  Ta tara tara Ta ta ta Ta tara tara Ta ta ta Ta tara tara Taa  Sabe, depois que eu te conheci Ficou difícil de viver Eu fico aqui imaginando coisas com você, viu? O nosso som é parecido Será que isso é obra do destino? Pensando bem, contigo até combino  Como que eu vou dizer pra ela Que eu gosto do seu cheiro, da cor do seu cabelo Que ela faz minha pupila dilatar? Eu quero dizer pra ele Que a rima fez efeito E agora, eu penso o dia inteiro Só ele faz minha pupila dilatar  Ta tara tara Ta ta ta Ta tara tara Ta ta ta Ta tara tara Taa  Faz de conta que eu te conheço bem Quero algum atalho pra te convencer Que a gente se combina, só você não vê Mas eu vejo, eu vejo, ah Ensaio no espelho pra tentar ligar Invento mil acasos pra te esbarrar por aí Não sei o que eu faço Eu quero mais, eu quero mais de ti  Como que eu vou dizer pra ela Que eu gosto do seu cheiro, da cor do seu cabelo Que ela faz minha pupila dilatar? Eu quero dizer pra ele Que a rima fez efeito E agora, eu penso o dia inteiro Só ele faz minha pupila dilatar  É bom demais querer alguém Eu quero você (E eu quero você) Eu quero você É bom demais querer alguém E é você que eu quero (E é você que eu quero) E é você  Como que eu vou dizer pra ele Que eu quero aquele beijo Que eu sei guardar segredo? Ninguém precisa nem desconfiar Eu quero dizer pra ela Que eu amo o seu jeito Que o seu óculos é maneiro Que ela faz minha pupila dilatar  Ta tara tara Ta ta ta Ta tara tara Ta ta ta Que ela faz minha pupila dilatar Ta tara tara Ta ta ta Ta tara tara Ta ta ta Ta tara tara Taa"
menina solta,Giulia Be,"Ela era lá da Barra E ele de Ipanema Foram ver o campeonato Lá em saquarema Achando que ia da bom Mas só deu problema  A mina chegou gigante Cheia dos esquema O ""moleque"" apaixonado e ela toda plena Ele queria um amor E ela só tinha pena  Enquanto ele dormia Mal ele sabia Que lá no pé da areia Outro chama de sereia Essa menina solta Essa menina solta  Enquanto ele dormia Mal ele sabia Que lá na casa dela Ela sentava e escolhia Quem ela queria Essa menina solta  Vai ter que supera a a a Vai ter que supera a a a Essa menina solta Essa menina solta  Saquarema tava quente, e ela toda fria Falando que ia pra festa que ela nem ia Mesmo levando um perdido ele não desistia  Apegado nos momentos que tiveram um dia Sem noção da situação que ele se metia Doido sem entender o game que ela fazia ! VAI MENINA!  Enquanto ele dormia Mal ele sabia Que lá no pé da areia Outro chama de sereia Essa menina solta Essa menina solta  Enquanto ele dormia Mal ele sabia Que lá na casa dela Ela sentava e escolhia Quem ela queria Essa menina solta  vai ter que supera a a a vai ter que supera a a a essa menina solta essa menina solta  Logo logo ele Que era difícil de se apaixonar Logo ele! Vai ter que supera a a a Ele vai ter que superaar  Vai ter que supera a a a Vai ter que supera a a a Essa menina solta Essa menina solta"
Terremoto,Kevinho,"Ladies and gentlemen Essa mina gosta de tocar o terror Cê acredita? Quem diria, hein?  Essa mina é sem vergonha, gosta de tocar o terror Já me deu até insônia, meu sossego acabou Pesadelo da invejosa, sonho de quem não provou  Quando ela desce é igual terremoto Ela senta e não para, ela toca o terror Quando ela desce é igual terremoto Ela senta e não para, ela toca o terror Quando eu desço é igual terremoto Rebolo, eu não paro, toco o terror Quando eu desço é igual terremoto Rebolo, eu não paro, toco o terror  Atrevida, poderosa, gosto de tocar o terror Pra te ver perdendo a linha, teu sossego acabou Pesadelo da invejosa, teu desejo eu sei que eu sou  Quando eu desço é igual terremoto Rebolo, eu não paro, toco o terror Quando eu desço é igual terremoto Rebolo, eu não paro, toco o terror Quando ela desce é igual terremoto Ela senta e não para, ela toca o terror Quando ela desce é igual terremoto Ela senta e não para  E ela entrou na minha mente de um jeito indecente Não como mais, não durmo mais, eu vou ficar doente Tá querendo de novo, já caiu no meu jogo Não pode se queimar, então pra que brincar com fogo? Mas eu sou artilheiro e eu vou virar o jogo Eu vou partir pra cima, de virada é mais gostoso Eu ganho essa parada, pode ficar ligada Vai ver que eu sou zica, haha, cê acredita?  Quando eu desço é igual terremoto Rebolo, eu não paro, toco o terror Quando eu desço é igual terremoto Rebolo, eu não paro, toco o terror Quando ela desce é igual terremoto Ela senta e não para, ela toca o terror  Eu desço, não paro, rebolo, eu toco o terror E ela desce, não para, rebola, toca o terror Eu desço, não paro, rebolo, eu toco o terror E ela desce, não para, rebola, toca o terror  Chama, fio (An) Anitta (Hmm) Quando você rebola, é tipo como? É tipo terremoto Quem diria? Cê acredita?"
Casal Raiz,Xand Avião,"Faltou dinheiro aqui Cê tem aí, amor? Amar é dividir Não é vergonha, não Aqui é parceria Isso que é relação Ela toma cachaça comigo Não reclama da roupa no chão Se ela bebe, sou eu que dirijo Espero ela no salão Agora pense aí num casalzão A gente não liga pro que o povo diz Quem ama também briga, também xinga e sempre volta Sabe esses ‘casal' nutella, que bloqueia e para de seguir Aqui não, aqui é casal raiz"
SENTADÃO,Pedro Sampaio,"Instigada, essa danada Movimenta e vem por cima Vai Sentando Re, Rebolando Vai, Vai, Sentando Re, Rebolando Vai!  Instigada essa danada Movimenta e vem por cima Vai Sentando Re, Rebolando Vai, Vai, Vai Vai, Vai  (x2) Sentadão Sentadão Olha o movimento que ela faz jogando esse bundão no chão  Chão, chão, chão, chão, Chão Jogando o seu bundão no chão, chão, chão chão, chão  Sentadão  Batida envolvente na malemolência No Beat, ela senta e representa Senta Senta  Sentadão Sentadão  Felipe Original, fala tu que eu tô cansado PE DRO SAM PAI O vai!"
Meu talismã,Iza,"Quando a intimidade chega ir embora é uma opção Permanecer também Escolher ficar é para quem entendeu que a verdadeira magia não está no destino Aliás, não há destino. Só existe eu e você O resto é poesia pro nosso amor Para nossa dor Para nós meu talismã  Ei, você ainda não percebeu Depois do que aconteceu Só sobrou nós dois Agora é só você e eu  Só viajar Nem pega o passaporte e 'Cê me leva pra qualquer lugar Sem hora pra voltar  Nosso amor ninguém supera E se eu contar dá uma novela O que é nosso é luz e se cortarem a luz A gente vai jantar a luz de velas  Você me traz sorte É o meu talismã Sonho com você Quero ter você todas as manhãs  Você me traz sorte É o meu talismã Sonho com você Quero ter você todas as manhãs  E quando os boleto Vai ficando sem um puto Mas se a gente tem amor A gente tá no lucro  Um pagodinho pra esquecer Ouvindo SPC Um funk eu e você Um dog e dois suco  Você é a coisa mais perfeita Feita nesse mundo É complicado e perfeitinho Tipo Raimundos  É assim em dias de luta E dias de glória Só os loucos sabem o que A gente faz em um segundo  Nosso amor ninguém supera E se eu contar dá uma novela O que é nosso é luz e se cortarem a luz A gente vai jantar a luz de velas  Você me traz sorte É o meu talismã Sonho com você Quero ter você todas as manhãs  Você me traz sorte É o meu talismã Sonho com você Quero ter você todas as manhãs  Todas as manhãs Sonho com você Sonho com você"
Surto De Amor,Bruno e Marrone,"Ela tava tão linda Mesmo abraçando ele O amor da minha vida Sendo exibida de troféu pra ele  Vez ou outra me olhava Como quem diz, vem cá E na frente do povo, num surto de amor Peguei ela nos braços e a festa parou A gente se beijando E o mundo caindo Um inconformado e “dois doido varrido” E os convidados de queixo caído Me vendo levar ela embora comigo"
Casal Modão,Michel Teló,"Se for pra namorar e não ter parceira de farra Eu nem quero, eu nem quero Se for pra sair junto onde não toca sertanejo Eu nem quero, eu nem quero Por isso que a gente combinou É pouca frescura e muito amor  Nós dois não é casal modinha ""Nois"" é casal modão Que vai junto ""pro"" boteco tomar uma Ouvindo voz e violão  Nós dois não é casal modinha ""Nois"" é casal modão Nada contra o ""tutis-tutis"" da balada Mas esse é o nosso batidão"
Combatchy,Anitta,"Agora vai começar o combate Quica, quica, bate, bate Hoje vai rolar um fight de bumbum  Aqui não vai ter empate O bagulho é de verdade Meu popô vai dar nocaute em qualquer um  Ô bota a cara pra tu ver O que vai acontecer Eu vou te dar prejú Vai tomar surra de bumbum  Turudum Turudum Turudum Turudum Turudum Turudum Turudum Turudum Turudum Turudum Turudum Turudum Turudum Turudum Turudum Turudum  Round 1, bota pra tremer, tremer, tremer Round 2, bota pra descer Round 3, joga, joga, joga o popotão Finaliza quando vai no chão, vai no chão"
Dois Lados,Wesley Safadão,"Cinco da manhã chegando em casa Mais uma tentativa frustrada Bebi, beijei, tentei, não deu em nada  Quando o relacionamento chega ao fim Tem um lado bom e um lado ruim E adivinha qual sobrou pra mim  Eu tô do lado que bebe Que sofre, que chora, que liga E você tá do lado de outra pessoa Seguindo a sua vida  Eu tô do lado que bebe Que sofre, que chora, que liga E você tá do lado de outra pessoa Seguindo a sua vida"
Aí eu Bebo,Maiara e Maraisa,"Deu sexta-feira de novo Já sei aonde isso vai dar É dia de chopp em dobro Sei lá se eu vou aguentar  Ficar sem beber Ficar sem ligar Ficar sem chorar, ah ah ah  Aí eu bebo E fico tonto Lembro de nada Nem do meu nome  Esqueço tudo Quase tudo Só não esqueço Seu telefone  Aí eu bebo E fico tonto Lembro de nada Nem do meu nome  Esqueço tudo Quase tudo Só não esqueço Seu telefone  Aí eu ligo, ligo, ligo, ligo, ligo, ligo Não me atende e eu só bico, bico, bico  Aí eu ligo, ligo, ligo, ligo, ligo, ligo Não me atende e eu só bico, bico, bico  Deu sexta-feira de novo Já sei aonde isso vai dar É dia de chopp em dobro Sei lá se eu vou aguentar  Ficar sem beber Ficar sem ligar Ficar sem chorar, ah ah ah  Aí eu bebo E fico tonto Lembro de nada Nem do meu nome  Esqueço tudo Quase tudo Só não esqueço Seu telefone  Aí eu bebo E fico tonto Lembro de nada Nem do meu nome  Esqueço tudo Quase tudo Só não esqueço Seu telefone  Aí eu bebo E fico tonto Lembro de nada Nem do meu nome  Esqueço tudo Quase tudo Só não esqueço Seu telefone  Aí eu ligo, ligo, ligo, ligo, ligo, ligo Não me atende e eu só bico, bico, bico  Aí eu ligo, ligo, ligo, ligo, ligo, ligo Não me atende e eu só bico, bico, bico  Deu sexta-feira de novo"
Parabéns,Pabllo Vittar,Hoje é um dia especial Te dou um presente você não viu nada igual Olha aqui menino quantos anos você tem Sei que cê tá lindo e merece parabéns  Eu digo Humm o clima tá gostoso Humm eu vou comer seu bolo Humm seu pedaço vem primeiro Tem bolo pra tu e também pro baile inteiro  Ra ra ra tim bum É big big big big big o seu bumbum Te dou parabéns quando para a bunda Te dou parabéns quando para a bunda Te dou parabéns quando para a bunda Te dou parabéns quando para a bunda  Hoje é um dia especial Te dou um presente você não viu nada igual Olha aqui menina quantos anos você tem Sei que cê tá linda e merece parabéns  Eu digo Humm o clima tá gostoso Humm eu vou comer seu bolo Humm seu pedaço vem primeiro Tem bolo pra tu e também pro baile inteiro  Ra ra ra tim bum É big big big big big o seu bumbum Te dou parabéns quando para a bunda Te dou parabéns quando para a bunda Te dou parabéns quando para a bunda Te dou parabéns quando para a bunda
Delicinha,Gabriel Gava,Eu saio Eu bebo Eu beijo Se for preciso até deito com outra pessoa pra te esquecer Mas o duro é o dia seguinte saber que não resolve nada Pensar na pessoa certa e fazer amor com a errada Oh minha delicinha volta pra vida minha Oh minha delicinha volta pra vida minha Aquela mexidinha só você que tinha Aquela mexidinha só você que tinha
