Song,Singer,Lyrics
Que Mal Te Fiz Eu,Gusttavo Lima,"Não entendo Porque não me falas E viras a cara Cada vez que passo junto a ti  Não entendo Todo esse veneno Que por aí espalha Quando tem conversas sobre mim  Por que Tu sentes tanto rancor De um homem que te amava e te queria E tu deixaste, diz Fala tudo, por favor  Que mal te fiz eu? Para me tratar assim como um farrapo Um vagabundo, um pobre coitado Já não bastava ter matado o nosso amor  Que mal te fiz eu? Para tu depois vir me tirar a vida E quer me ver crucificado ainda Não te bastava a dor que teu adeus deixou?  Eu te peço, por Deus Diga que mal te fiz eu  Por que Tu sentes tanto rancor De um homem que te amava e te queria E tu deixaste, diz Fala tudo, por favor  Que mal te fiz eu? Para me tratares assim como um farrapo Um vagabundo, um pobre coitado Já não bastava ter matado o nosso amor  Que mal te fiz eu? Para tu depois vir me tirar a vida E quer me ver crucificado ainda Não te bastava a dor que teu adeus deixou?  Que mal te fiz eu? Para me tratares assim como um farrapo Um vagabundo, um pobre coitado Já não bastava ter matado o nosso amor  Que mal te fiz eu? Para tu depois vir me tirar a vida E quer me ver crucificado ainda Não te bastava a dor que teu adeus deixou?  Eu te peço, por Deus Diga que mal te fiz eu  Eu te peço, por Deus Diga que mal te fiz eu"
Aquele 1%,Marcos e Belutti,"Eu abro a porta e puxo a cadeira do jantar A luz de velas pra ela se apaixonar Eu mando flores, chocolates e cartão O meu problema sempre foi ter grande coração  Ligo no outro dia no estilo Don Juan Dormiu bem meu amor? É domingo de manhã Vamos pegar uma praia, deu saudade do seu beijo Trato todas iguais Esse é meu defeito  Tô namorando todo mundo 99% anjo, perfeito Mas aquele 1% é vagabundo Mas aquele 1% é vagabundo Safado e elas gostam  Tô namorando todo mundo 99% anjo, perfeito Mas aquele 1% é vagabundo Mas aquele 1% é vagabundo Safado e elas gostam  Só 1%  E o 1% mais safado do Brasil!  Chega pra cá, Safadão! Marcos e Belutti!  Eu abro a porta e puxo a cadeira do jantar A luz de velas pra ela se apaixonar Eu mando flores, chocolates e cartão O meu problema sempre foi ter grande coração  Eu ligo no outro dia no estilo Don Juan Dormiu bem meu amor? É domingo de manhã Vamos pegar uma praia, deu saudade do seu beijo Trato todas iguais Esse é meu defeito  Tô namorando todo mundo 99% anjo, perfeito Mas aquele 1% é vagabundo Aquele 1% é vagabundo Safado e elas gostam  Tô namorando todo mundo 99% anjo, perfeito Mas aquele 1% é vagabundo Aquele 1% é vagabundo Mostra a safadeza de vocês, vai  Tô namorando todo mundo 99% anjo, perfeito Mas aquele 1% é vagabundo Mas aquele 1% é vagabundo Safadão e elas gostam  Tô namorando todo mundo 99% anjo, perfeito Mas aquele 1% é vagabundo Mas aquele 1% é vagabundo Safadão e elas gostam  Só 1%! E elas gostam! E elas gostam!  Wesley Safadão! Valeu, Safadão! Marcos e Belutti!"
Você Não Me Conhece,Gusttavo Lima,"Você não me conhece Me julgando até assim parece Que eu sou o pior ser humano do mundo Quando ta com raiva esquece de tudo Poe em jogo três anos por causa de uma discussão  Você não é capaz, quando promete não fazer mais Eu confio nas suas palavras Mas você vai correndo estraga E de novo perdeu a postura Outra vez me culpando por suas loucuras  Não tem ser humano no mundo que aguente Essa relação vai terminar machucando a gente Você bem que podia tentar ser diferente  Não tem ser humano no mundo que aguente Quando eu digo que to indo embora e ""ce"" entra na frente E me diz três palavras e fica tudo bem com a gente"
A paz desse amor,Paula Fernandes,"Na hora que você deixou de lado aquele meu abraço E a relação foi pro espaço Fiquei sem chão Na hora que você ficou em dúvida do sentimento  Eu tava aí dentro do seu coração Agora eu já sei, pintou saudade Quer tentar de novo E a nossa vida tá em jogo  Eu te falei Que a hora de você vir me dizer que você tá de volta E bater a porta e se arrepender Saiba que eu  Não vivo sem seu toque, sem o teu sorriso E me doeu, sentir que me deixar pra você, foi preciso Saiba que não  Eu nunca duvidei que você me amasse Eu esperei que você voltasse pra nós Voltar pra dizer que me ama  Não dá pra viver sem a paz desse amor Voltar pra guiar o meu caminho Prometa que não vai me abandonar de novo Que agora vai cuidar melhor de mim e desse amor  Na hora que você deixou de lado aquele meu abraço E a relação foi pro espaço Fiquei sem chão Na hora que você ficou em dúvida do sentimento  Eu tava aí dentro do seu coração Saiba que eu  Não vivo sem seu toque, sem o teu sorriso E me doeu, sentir que me deixar pra você, foi preciso Saiba que não  Eu nunca duvidei que você me amasse Eu esperei que você voltasse pra nós Voltar pra dizer que me ama  Não dá pra viver sem a paz desse amor Voltar pra guiar o meu caminho Prometa que não vai me abandonar de novo Que agora vai cuidar melhor de mim e desse amor  Do nosso amor...  Voltar pra dizer que me ama Não dá pra viver sem a paz desse amor Voltar pra guiar o meu caminho Prometa que não vai me abandonar de novo Que agora vai cuidar melhor de mim e desse amor Prometa que não vai me abandonar de novo Que agora vai cuidar melhor de mim e desse amor"
Os Anjos Cantam,Jorge,"No primeiro instante, vi que era amor No momento em que a gente se encontrou No segundo instante, vi que era você Já te amo tanto sem te conhecer  É que nos meus sonhos você era linda Pessoalmente é mais linda ainda Nosso amor veio de outras vidas Eu vou te amar nas outras vidas que virão  É que você nasceu pra ser minha Vamos dividir uma casinha Uma cama dormir de conchinha  Deus abençoou a nossa união  E os anjos cantam nosso amor Ôuo, ôuo, ôuo E os anjos cantam nosso amor Ôuo, ôuo, ôuo  No primeiro instante, vi que era amor No momento em que a gente se encontrou No segundo instante, vi que era você Já te amo tanto sem te conhecer  É que nos meus sonhos você era linda Pessoalmente é mais linda ainda Nosso amor veio de outras vidas Eu vou te amar nas outras vidas que virão  É que você nasceu pra ser minha Vamos dividir uma casinha Uma cama dormir de conchinha  Deus abençoou a nossa união  E os anjos cantam nosso amor Ôuo, ôuo, ôuo E os anjos cantam nosso amor Ôuo, ôuo, ôuo."
Te Amo,Zé Neto e Cristiano,"Onde você pensa que vai Com essas malas jogadas no chão Com esse rosto coberto de pranto E essa sombra no seu coração  Onde você pensa que vai Senta aqui ainda não acabou Sei que nunca fui o mais perfeito Nunca dei o que você sonhou  É,mas agora eu posso ver  Que eu não saberia Acordar todo dia Olhar do meu lado E não te sentir Não me aceitaria Olhando no espelho  Sabendo que um dia Te deixei partir  Eu não imagino como seja o mundo Sem você por perto eu não posso seguir Me desculpa por tudo que fiz Se te fiz infeliz E nunca admiti  Te amo Te amo Te amo Te amo Te amo"
FLORES EM VIDA,Luciano,Quero o seu amor agora Não a saudade depois Seu carinho pela vida afora Antes que o fim pare entre nós dois  Quero a sua companhia Caminhar na mesma direção Exceto que um certo dia A vida nos separe em alguma estação  Quero flores em vida Seu sorriso a me iluminar As lágrimas de despedida Não estarei por perto para enxugar  Eu quero viver a vida Quero flores em vida Colhidas no jardim do amor  Do nosso amor  Quero flores em vida Seu sorriso a me iluminar As lágrimas de despedida Não estarei por perto para enxugar  Eu quero viver a vida Quero flores em vida Colhidas no jardim do amor  Do nosso amor
Isso Cê Num Conta,Bruno e Marrone,"Fala pra elas que o fim de semana Foi o melhor da sua vida Que voltou a sorrir porque tava sem mim  Faz elas acreditarem que era De dó que ainda tava comigo Que eu sempre fui um cara chato Que nem sabe como tava do meu lado  Que a gente foi no motel ontem Isso cê num conta, isso cê num conta E que você pagou a conta Isso cê num conta, isso cê num conta  Que ainda chora escondida Isso cê num conta, isso cê num conta Que pediu pra voltar comigo Isso cê num conta, isso cê num conta"
Sosseguei,Jorge e Mateus,"Tô virado já tem uns três dias Tô bebendo o que eu jamais bebi Vou falar o que eu nunca falei É a primeira e a última vez  Eu sosseguei Ontem foi a despedida Na balada, dessa vida de solteiro Eu sosseguei Mudei a rota em meus planos E o que eu tava procurando, eu achei em você  Se quer cinema eu sou par perfeito Quer curtir balada já tem seu parceiro Ou ficar em casa amando o dia inteiro Dividir comigo o seu brigadeiro  E nessa vida agora somos dois, três, quatro Quantos você quiser A partir de hoje eu sou homem de uma só mulher."
Pronto Falei,Eduardo Costa,"Pegue suas coisas, coloca na mala Eu vou te esperar lá no sofá da sala É hora de dizer adeus!  Aguentei demais as suas ilusões Dizendo que me amava E tendo outras paixões por aí  Não me acostumei a ter só a metade Uma aqui comigo e a outra na saudade, mas passou  Infelizmente o que começa vai ter fim E você não foi o que eu sonhei pra mim Vá viver a sua vida e me esquece, desaparece  Eu não quero mais me sujeitar a isso que me sujeitei Me doando tanto como eu lhe doei e você não deu valor Eu não quero mais ter que depender do amor de alguém Que fala que me ama e não ama ninguém  Pode ir, me cansei Pronto, falei!"
PIRAÇÃO,Paula Fernandes,Não sei o que faço perdi o juízo Cansei desse jogo esse amor eu preciso Amor é verdade você me faz falta Agora aqui fora sem teto sem casa Com peito ferido queimando em brasa Amor que saudade tô sentindo falta  Agora eu vou dizer amor A história ainda não acabou  Quando eu te vejo amor eu fico assim Longe do teu beijo a vida é tão ruim Quando eu te vejo amor é piração Morro de desejo e sinto o céu no chão Quando eu te vejo amor  Não sei o que faço perdi o juízo Cansei desse jogo esse amor eu preciso Amor é verdade você me faz falta Agora aqui fora sem teto sem casa Com peito ferido queimando em brasa Amor que saudade tô sentindo falta  Agora eu vou dizer amor A história ainda não acabou Me abraça e vem dizer que sim Que gosta e quer voltar pra mim  Quando eu te vejo amor eu fico assim Longe do teu beijo a vida é tão ruim Quando eu te vejo amor é piração Morro de desejo e sinto o céu no chão  Parece loucura mas quando eu te beijo Eu perco o compasso e fico sem jeito Disfarço não nego o assunto que evito Mas essa paixão tá acabando comigo Eu fico sonhando com esse momento Há tempos que sinto um fogo aqui dentro Essa piração eu tô ficando louca  Quando eu te vejo amor eu fico assim Longe do teu beijo a vida é tão ruim Quando eu te vejo amor é piração Morro de desejo e sinto o céu no chão Quando eu te vejo amor Longe do meu beijo amor Quando eu te vejo amor Morro de desejo amor
Chocolate quente,Michel Teló,"Volta aqui, antes de sair me dá um beijo Onde você vai assim tão cedo O dia nem amanheceu direito Vem aqui, é feriado, volte a dormir comigo  Eu adoro quando abre esse sorriso Como se dissesse amor eu deixo tudo pra depois Hoje vai ser só nós dois Quero ficar com você falando dos planos da gente Enquanto isso eu faço um chocolate quente  Aproveitar que o inverno chegou Pra estrear o nosso cobertor E quando o dia acabar, não quero sair dos seus braços Ficar pra sempre aqui, eu te convenço fácil  Não adianta tentar resistir o amor chegou pra você e pra mim Fica pra sempre aqui"
Flor e o Beija-flor,Henrique e Juliano,"Essa é uma velha história De uma flor e um beija-flor Que conheceram o amor numa noite fria de outono  E as folhas caídas no chão da estação que não tem cor E a flor conhece o beija-flor E ele lhe apresenta o amor  E diz que o frio é uma fase ruim Que ela era a flor mais linda do jardim E a única que suportou Merece conhecer o amor e todo o seu calor  Ai que saudade de um beija-flor Que me beijou depois voou Pra longe demais Pra longe de nós  Saudade de um beija-flor Lembranças de um antigo amor O dia amanheceu tão lindo Eu durmo e acordo sorrindo.  Essa é uma velha história De uma flor e um beija-flor Que conheceram o amor numa noite fria de outono  E as folhas caídas no chão da estação que não tem cor E a flor conhece o beija-flor E ele lhe apresenta o amor  E diz que o frio é uma fase ruim Que ela era a flor mais linda do jardim E a única que suportou Merece conhecer o amor e todo o seu calor  Ai que saudade de um beija-flor Que me beijou depois voou Pra longe demais, Pra longe de nós  Saudade de um beija-flor Lembranças de um antigo amor O dia amanheceu tão lindo, Eu durmo e acordo sorrindo  O dia amanheceu tão lindo Eu durmo e acordo sorrindo."
ESQUECI VOCÊ,Henrique e Diego,"Eu esqueci você Tô ligando em plena madrugada E te acordando pra dizer Eu esqueci você Eu já nem lembro mais Que teu beijo tinha gosto de saudade Que no seu perfume era tão doce Eu nem me lembro mais  Se eu te ligo na mesa do bar Se você já cansou de escutar Que um dia eu iria esquecer Esse dia chegou, acabou de chegar Se ainda guardo lembranças de nós  Na memória do meu celular Se carrego comigo a foto Que a gente tirou la na beira do mar Tudo isso é pra você lembrar Lembrar que eu te esqueci"
SEU POLICIA,Zé Neto e Cristiano,Seu polícia É que eu separei recentemente De paixão eu tô doente Será que o senhor me entende  Os vizinhos tão reclamando Do volume do meu som Mas enquanto ela não voltar Eu vou continuar  Me afogando no álcool O som do carro no talo Manda a multa que eu vou pagar Mas enquanto ela não voltar  Sofrimento é mato Coração em pedaços Compreenda por favor O meu amor me deixou   Seu polícia É que eu separei recentemente De paixão eu tô doente Será que o senhor me entende  Os vizinhos tão reclamando Do volume do meu som Mas enquanto ela não voltar Eu vou continuar  Me afogando no álcool O som do carro no talo Manda a multa que eu vou pagar Mas enquanto ela não voltar  Sofrimento é mato Coração em pedaços Compreenda por favor O meu amor me deixou  Me afogando no álcool O som do carro no talo Manda a multa que eu vou pagar Mas enquanto ela não voltar  Sofrimento é mato Coração em pedaços Compreenda por favor O meu amor me deixou
