,Objektart,MietpreisproMonat,Zimmer,Verfügbarab,rating,adress,publication_date,city,DateofScrapping,Wohnfläche,Geschoss,Kabel-TV,Rollstuhlgängig,Baujahr,Balkon(e),Einstellplatz,Aussenparkplatz,Cheminée,MietpreisproMonat(exkl.NK),Nebenkosten,Lift,ÖV-Haltestelle,Einkaufsmöglichkeit,Haustiereerlaubt,Autobahn,Kindergarten,Primarschule,Sekundarschule,Raumhöhe,Wohnungen,Bäder,Neubau,Still,Sonnig,Nutzfläche,Toiletten,Kinderfreundlich,Erstbezug,Minergie-zertifiziert,AltesGebäude,Geschirrspülmaschine,Wasseranschluss,Kubatur,Eckhaus,Veranda,Hochparterre,Hebebühne,Anfahrrampe,Holzofen,Grundstückfläche
23025410,Wohnung,1560,2,nachVereinbarung,NaN,8055 Zürich ZH,26.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23024101,Wohnung,1490,3,16.05.2020,NaN,"Schwellistrasse 61, 8052 Zürich",26.02.2020,zuerich,26.02.2020,,2.Stock,,,,1,,,,1330,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23024760,Wohnung,1300,1.5,01.04.2020,NaN,"Feldstrasse 98, 8004 Zürich ZH",26.02.2020,zuerich,26.02.2020,30,3.Stock,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23024647,Wohnung,1250,1,nachVereinbarung,NaN,"Kreuzstrasse 17, 8008 Zürich",26.02.2020,zuerich,26.02.2020,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23024646,Studio,500,,nachVereinbarung,NaN,8004 Zürich,26.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23023573,Wohnung,2105,3.5,nachVereinbarung,5,"Albisstr. 81, 8038 Zürich",26.02.2020,zuerich,26.02.2020,81,2.Stock,,,1968,,,,,1850,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23023289,Wohnung,2190,3,,NaN,8049 Zürich,26.02.2020,zuerich,26.02.2020,60,1.Stock,,,,,,,,1900,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23023271,Wohnung,3700,2.5,sofort,4,"Pfingstweidstrasse 98 (RESERVIERT), 8005 Zürich",26.02.2020,zuerich,26.02.2020,105,20.Stock,1,1,2015,,,,,3350,350,1,,,1,,,,,260cm,121,1,1,1,1,,,,,,,,,,,,,,,,
23023261,Loft,3730,2.5,,NaN,"Hardturmstrasse 90 (RESERVIERT), 8005 Zürich",26.02.2020,zuerich,26.02.2020,109,4.Stock,,,,,,,,3380,350,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
23024135,Wohnung,2500,2.5,01.03.2020,4,"Tuchmacherstrasse 76, 8041 Zürich",26.02.2020,zuerich,26.02.2020,74,7.Stock,,,2019,1,,,,2300,200,1,80m,200m,,2200m,800m,650m,1500m,,,,,,,,,,,,,,,,,,,,,,
23022951,Wohnung,1565,2,01.05.2020,5,"Bristenstrasse 7, 8048 Zürich",26.02.2020,zuerich,26.02.2020,58,2.Stock,1,,1964,1,1,,,1495,70,,50m,50m,1,2000m,300m,300m,,,,,,,,,,,,,,,,,,,,,,,
23021886,Wohnung,1350,1.5,01.04.2020,NaN,"Birmensdorferstr. 256, 8055 Zürich",26.02.2020,zuerich,26.02.2020,30,2.Stock,1,,,,,1,,1260,90,1,100m,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23023043,Wohnung,2750,3.5,01.04.2020,NaN,"Paulstrasse 6, 8008 Zürich",26.02.2020,zuerich,26.02.2020,79,4.Stock,1,,,,,,,2600,150,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23023270,Attika,3380,2.5,01.04.2020,4,"Karl-Stauffer-Strasse 8 (RESERVIERT), 8008 Zürich",26.02.2020,zuerich,26.02.2020,83,4.Stock,1,1,2020,1,,,,3100,280,1,,,,,,,,240cm,23,1,1,1,1,131,1,1,1,,,,,,,,,,,,
23021964,Wohnung,1565,2,,NaN,8048 Zürich,26.02.2020,zuerich,26.02.2020,58,2.Stock,,,,,,,,1495,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23021871,Wohnung,2599,3.5,01.04.2020,NaN,"Diggelmannstrasse 29, 8047 Zürich",26.02.2020,zuerich,26.02.2020,,4.Stock,,,,1,1,,,2475,124,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23021879,Wohnung,3650,4.5,01.07.2020,3,"Neunbrunnenstrasse 53, 8050 Zürich",26.02.2020,zuerich,26.02.2020,123,4.Stock,1,,2013,1,1,,,3350,300,1,50m,500m,1,2500m,200m,500m,,,,,,,,,,1,,,,,,,,,,,,,
23023824,Maisonette,2250,3.5,01.03.2020,5,"Neudorfstrasse 17, 8050 Zürich",26.02.2020,zuerich,26.02.2020,110,EG,,,1987,,,,,1900,350,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23021876,Wohnung,1800,2.5,16.04.2020,5,"Binzmühlestrasse 97, 8050 Zürich",26.02.2020,zuerich,26.02.2020,65,4.Stock,,,2001,1,1,,,1630,170,1,450m,50m,,,,,,,,,,,,,,1,,,,,,,,,,,,,
23021875,Wohnung,1371,3.5,01.05.2020,NaN,"Rütihofstrasse 45, 8049 Zürich",26.02.2020,zuerich,26.02.2020,88,EG,1,,1996,1,,,,1255,116,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
23021885,Wohnung,1374,1,01.04.2020,NaN,"Friesenbergstrasse 76, 8055 Zürich",26.02.2020,zuerich,26.02.2020,,2.Stock,1,,,,,,,1270,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23021866,Wohnung,4700,5,01.05.2020,3,"Neuhausstrasse7, 8044 Zürich",26.02.2020,zuerich,26.02.2020,143,1.Stock,1,,2003,1,1,,1,4300,400,1,200m,200m,1,,,400m,,,,,,,,,,,,,,,,,,,,,,,
23021867,Wohnung,1680,3,01.04.2020,5,"Wehntalerstrasse 521, 8046 Zürich",26.02.2020,zuerich,26.02.2020,65,1.Stock,1,,1970,1,,,,,,,150m,300m,,2000m,500m,500m,1500m,,,,,,,65,,1,,,,,,,,,,,,,
23021868,Wohnung,1820,3,01.05.2020,3,"Wehntalerstrasse 609, 8046 Zürich",26.02.2020,zuerich,26.02.2020,57,2.Stock,,,1957,1,,,,1682,138,,50m,200m,,400m,,,,,,,,,,,,,,,,,,,,,,,,,
23021873,Wohnung,2200,3,,NaN,"Sustenstrasse 20, 8048 Zürich",26.02.2020,zuerich,26.02.2020,60,1.Stock,,,,1,,,,2030,170,,100m,100m,1,,50m,50m,,,,,,,,,,1,,,,,,,,,,,,,
23021856,Wohnung,1595,2,01.04.2020,NaN,"Widmerstrasse 73, 8038 Zürich",26.02.2020,zuerich,26.02.2020,48,1.Stock,1,,,1,,,,1485,110,,100m,500m,,500m,,,,,,,,,,48,,,,,,,,,,,,,,,
23021854,Wohnung,2310,3,01.04.2020,4,"Nordstrasse 318, 8037 Zürich",26.02.2020,zuerich,26.02.2020,70,1.Stock,1,,1929,,,,,2100,210,,50m,1000m,,1000m,,,,,,,,,,70,,,,,,,,,,,,,,,
23021858,Wohnung,1490,2.5,01.03.2020,4,"Leimbachstrasse 135, 8041 Zürich",26.02.2020,zuerich,26.02.2020,44,EG,,,1962,,,,,1390,100,,150m,500m,,3700m,,,,,,,,,,,,,,,,,,,,,,,,,
23021851,Attika,4250,3.5,01.05.2020,3,"Witikonerstrasse 80, 8032 Zürich",26.02.2020,zuerich,26.02.2020,115,2.Stock,1,,2001,1,1,1,1,3750,500,1,10m,500m,1,,,,,,,,,,,,,,,,,,,,,,,,,,
23021850,Wohnung,3700,4.5,01.04.2020,5,"Reinacherstrasse 12, 8032 Zürich",26.02.2020,zuerich,26.02.2020,121,1.Stock,,,1903,1,,,,3400,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23021853,Wohnung,1537,2.5,01.06.2020,NaN,"Griesernweg 19, 8037 Zürich",26.02.2020,zuerich,26.02.2020,,2.Stock,1,,,,,,,1463,74,,,,,,50m,50m,,,,,,,,,,,,,,,,,,,,,,,
23021852,Studio,890,1,,NaN,"Rotbuchstrasse, 8037 Zürich",26.02.2020,zuerich,26.02.2020,18,EG,1,,,,,1,,,,,100m,200m,,,,,,,,,,,,,,,,,,,,,,,,,,,
23021855,Wohnung,1210,1,01.04.2020,NaN,"Widmerstrasse 73, 8038 Zürich",26.02.2020,zuerich,26.02.2020,30,1.Stock,1,,,1,,,,1120,90,,100m,500m,,500m,,,,,,,,,,30,,,,,,,,,,,,,,,
23021847,Wohnung,3400,5.5,,NaN,"Haldeneggsteig 7, 8006 Zürich",26.02.2020,zuerich,26.02.2020,,1.Stock,,,1886,,,,,3200,200,,175m,575m,,5600m,,,,,,,,,,,,,,,,,,,,,,,,,
23021848,Wohnung,1800,1.5,16.03.2020,NaN,"Feldeggstrasse 46, 8008 Zürich",26.02.2020,zuerich,26.02.2020,36,2.Stock,1,,,,,,,1650,150,,10m,10m,,,,,,,,,,,,,,,,,,,,,,,,,,,
23021223,Wohnung,1467,2.5,nachVereinbarung,NaN,8049 Zürich ZH,26.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23021225,Wohnung,1690,2.5,nachVereinbarung,NaN,8046 Zürich ZH,26.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23021842,Wohnung,1500,1.5,01.06.2020,3,"Hardstrasse 9, 8004 Zürich",26.02.2020,zuerich,26.02.2020,35,1.Stock,1,,1959,,,,,1360,140,1,50m,50m,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
23021224,Wohnung,1500,2.5,nachVereinbarung,NaN,8047 Zürich ZH,26.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23021843,Wohnung,1600,1.5,,NaN,"Bienenstrasse 1, 8004 Zürich",26.02.2020,zuerich,26.02.2020,,1.Stock,1,,,1,,,,,,,100m,100m,,,,,,,,,,,,,,,,,,,,,,,,,,,
23021021,Wohnung,80,1,nachVereinbarung,NaN,8032 Zürich ZH,26.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23021708,Wohnung,1000,3.5,nachVereinbarung,NaN,8003 Zürich ZH,26.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
