,Objektart,MietpreisproMonat,MietpreisproMonat(exkl.NK),Nebenkosten,Wohnfläche,Zimmer,Geschoss,Baujahr,Verfügbarab,Balkon(e),Einstellplatz,Lift,Haustiereerlaubt,Kabel-TV,Kinderfreundlich,ÖV-Haltestelle,Autobahn,Kindergarten,Primarschule,Sekundarschule,Einkaufsmöglichkeit,rating,adress,publication_date,city,DateofScrapping,Aussenparkplatz,AltesGebäude,Nutzfläche,Hochparterre,Rollstuhlgängig,Neubau,Geschirrspülmaschine,Estrich,Cheminée,Toiletten,Minergie-zertifiziert,Kubatur,Raumhöhe,Mittelhaus,Wohnungen,Wasseranschluss,Swimmingpool,Möbliert,Grundstückfläche
22978282,Wohnung,1780,1660,120,,3.5,7.Stock,,01.05.2020,1,,1,1,,,90m,,1190m,420m,,1190m,NaN,"Zürichstrasse 46, 6004 Luzern",,luzern,26.02.2020,,1,,,,,,,,,,,,,,,,,
22977693,Wohnung,1460,,,,2.5,3.Stock,,sofort,1,,,,,,,,,,,,NaN,"Zürichstrasse 32, 6004 Luzern LU",18.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22982078,Wohnung,1300,1175,125,40,2.5,1.Stock,,01.03.2020,,,,,,,,,,,,,NaN,"Bernstrasse 7, 6003 Luzern",,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22981033,Wohnung,1470,1330,140,55,2,5.Stock,,15.03.2020,,,1,,,,50m,,,,,250m,NaN,"Taubenhausstrasse 4, 6005 Luzern",19.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22982033,Wohnung,1690,1460,230,86,4,3.Stock,,01.03.2020,1,1,1,,,1,,,,,,,NaN,"Thorenbergstrasse 15, 6014 Luzern",19.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22983485,Wohnung,1577,,,60,2.5,,,nachVereinbarung,,,,,,,,,,,,,NaN,"Bleicherstrasse, 6003 Luzern",18.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22977630,Wohnung,1800,1560,240,130,4.5,4.Stock,,sofort,,,,,,,,,,,,,NaN,"Zürichstrasse 32, 6004 Luzern LU",18.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22981031,Wohnung,1423,1203,220,,4,1.Stock,,nachVereinbarung,1,,,,1,,5m,2000m,120m,350m,3400m,1000m,NaN,"Hauptstrasse 35, 6015 Luzern",19.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22982212,Wohnung,980,800,180,,3,3.Stock,,01.07.2020,,,,,,,,,,,,,NaN,"Moosmattstrasse 39, 6005 Luzern",19.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22978384,Wohnung,2735,2450,285,148,5.5,1.Stock,,01.04.2020,1,,1,,,,,,,,,,NaN,6004 Luzern,18.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22973966,Wohnung,1577,1397,180,60,2.5,3.Stock,,nachVereinbarung,1,,1,,1,,,,,,,,NaN,"Bleicherstrasse 25, 6003 Luzern",18.02.2020,luzern,26.02.2020,1,,,,1,,,,,,,,,,,,,,
22975186,Wohnung,995,875,120,,2,2.Stock,,,1,,1,,1,,200m,,,,,1000m,NaN,"Würzenbachmatte 31, 6006 Luzern",18.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22977245,Wohnung,1520,1300,220,,3,1.Stock,1951,sofort,1,1,,1,1,1,100m,,100m,500m,2000m,250m,NaN,"Bodenhofstrasse 28, 6005 Luzern",18.02.2020,luzern,26.02.2020,1,1,,,,,,,,,,,,,,,,,
22975178,Wohnung,1190,1100,90,40,1.5,3.Stock,,01.05.2020,1,,1,,1,,50m,,,,,100m,NaN,"Waldstätterstrasse 12, 6003 Luzern",18.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22977258,Wohnung,1504,1274,230,80,3.5,3.Stock,,nachVereinbarung,1,,1,,,1,,,,,,,NaN,"Büttenenstrasse 9, 6006 Luzern",18.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
23013170,Terrassenwohnung,4450,4000,450,150,5,2.Stock,1932,nachVereinbarung,1,,1,1,,,,,,,,,NaN,"Cysatstrasse  15, 6004 Luzern",18.02.2020,luzern,26.02.2020,,,,,,,,,1,,,,,,,,,,
22976934,Wohnung,2100,1700,400,100,3.5,EG,1936,nachVereinbarung,1,1,,,1,,100m,2000m,300m,300m,300m,400m,5,"Schibiweg 5, 6006 Luzern",18.02.2020,luzern,26.02.2020,,,,1,,,,,,,,,,,,,,,
22976258,Wohnung,1660,,,69,3.5,,,01.05.2020,,,,,,,,,,,,,NaN,"Liebenauweg, 6006 Luzern",18.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
23021096,Wohnung,1685,,,86,3.5,,,01.03.2020,,,,,,,,,,,,,NaN,"Kreuzbuchstrasse 99, 6006 Luzern",18.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22975187,Wohnung,1180,1020,160,59,2.5,2.Stock,1971,16.04.2020,,1,,1,1,,20m,,,,,,6,"Schädrütistrasse 31, 6006 Luzern",18.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22971870,Maisonette,1565,1400,165,46,2.5,2.Stock,,01.09.2020,,,,,,,50m,,,,,,NaN,"Hertensteinstrasse 32, 6004 Luzern",17.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22968398,Wohnung,1480,1300,180,,3.5,3.Stock,,nachVereinbarung,1,,1,1,1,,,,,,,,NaN,"Hauptstrasse 52, 6015 Luzern",17.02.2020,luzern,26.02.2020,,1,,,,,,,,,,,,,,,,,
22970337,Wohnung,2070,1770,300,92,4.5,10.Stock,2012,nachVereinbarung,,1,1,1,1,1,25m,,1000m,1000m,1000m,25m,5,"Zihlmattweg 42, 6005 Luzern",17.02.2020,luzern,26.02.2020,,,,,,1,,,,,,,,,,,,,
22971880,Wohnung,1990,1760,230,77,3.5,4.Stock,,nachVereinbarung,,,,,,,,,,,,,NaN,"Sternmattstrasse 14G, 6005 Luzern",17.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22989920,Wohnung,2250,1990,260,127,5.5,3.Stock,,sofort,1,1,1,,1,,,,,,,,NaN,"Kreuzbuchrain 12, 6006 Luzern",17.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22968397,Maisonette,1750,1480,270,100,4.5,,,nachVereinbarung,,,,1,1,,50m,1000m,50m,,,10m,NaN,"Lindenstrasse 29, 6015 Luzern",17.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22971879,Wohnung,1560,1400,160,68,2.5,1.Stock,,nachVereinbarung,,,,,,,,,,,,,NaN,"Unterlachenstrasse 19, 6005 Luzern",17.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22973936,Wohnung,1890,1615,275,90,4,1.Stock,,nachVereinbarung,1,1,1,1,1,,50m,,100m,100m,,150m,NaN,"Giselistrasse 8, 6006 Luzern",18.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22999539,Wohnung,1130,990,140,61,3,,,01.05.2020,1,,,,,1,200m,5000m,600m,600m,,600m,NaN,"Libellenstrasse 24, 6004 Luzern",17.02.2020,luzern,26.02.2020,,1,,,,,,,,,,,,,,,,,
22966459,Wohnung,2301,2001,300,,4.5,,,01.05.2020,,,1,,1,,120m,3500m,,,,950m,NaN,"Stutzrain 36, 6005 St. Niklausen LU",17.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22963327,Wohnung,650,,,12,1,3.Stock,,01.04.2020,1,1,1,1,1,,,,,,,,NaN,"St. Karlistrasse, 6004 Luzern LU",17.02.2020,luzern,26.02.2020,1,,,,1,,,,,,,,,,,,,,
22960745,Wohnung,675,,,41,2.5,,,01.04.2020,,,,,,,,,,,,,NaN,"Rankhofstrasse 18, 6006 Luzern",16.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22964957,Dachwohnung,1850,1700,150,,4,3.Stock,1895,sofort,1,,,,,,,,,,,,NaN,"Sentimattstrasse  6, 6003 Luzern",17.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22961458,Wohnung,1370,1210,160,47,2,2.Stock,1951,nachVereinbarung,,,,1,1,,150m,,400m,600m,600m,800m,4,"Geissmattstrasse 66, 6004 Luzern",16.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22964933,Wohnung,1490,1310,180,,3.5,1.Stock,,01.05.2020,1,,1,,,,,,,,,,NaN,"Obergrundstrasse, 6005 Luzern",17.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22958511,Wohnung,1400,,,,3.5,,,06.04.2020,,,,,,,,,,,,,NaN,"Geissmattstrasse 25, 6004 Luzern",15.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22961848,Wohnung,5100,4500,600,192,6,,1989,nachVereinbarung,1,1,1,,,,,,,,,,3,6006 Luzern,,luzern,26.02.2020,,,,,,,,,1,,,,,,,,,,
22961409,Dachwohnung,2120,1940,180,,2.5,3.Stock,1900,01.04.2020,1,1,,1,1,1,200m,2000m,400m,400m,,200m,NaN,"Gesegnetmattstrasse 8a, 6006 Luzern",,luzern,26.02.2020,,1,,,,,,,1,,,,,,,,,,
22961459,Wohnung,970,900,70,25,1,3.Stock,2019,01.05.2020,,,,,,,,,,,,,5,"Wesemlinstrasse 4, 6006 Luzern",16.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22965091,Wohnung,1850,,,82,2.5,,,sofort,1,,1,,1,,,,,,,,NaN,"Oberseeburghöhe 14, 6006 Luzern",17.02.2020,luzern,26.02.2020,1,,,,1,,,,1,,,,,,,,,,
22956126,Wohnung,1620,1420,200,63,3.5,1.Stock,,01.04.2020,1,,1,1,,,,1317m,,103m,,246m,NaN,"Maihofstrasse 31, 6006 Luzern",15.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22954490,Wohnung,1620,1420,200,63,3.5,,,01.04.2020,1,,1,,,,,1000m,,103m,,246m,NaN,"Maihofstrasse 31, 6006 Luzern",14.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22957534,Wohnung,1740,1540,200,66,3,,,01.04.2020,1,,1,,,,,1000m,,103m,,246m,NaN,"Maihofstrasse 31, 6006 Luzern",15.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22954491,Wohnung,2075,1875,200,75,3.5,,,01.04.2020,1,,1,,,,,1000m,,103m,,246m,NaN,"Maihofstrasse 31, 6006 Luzern",14.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22961363,Wohnung,1160,990,170,60,3,2.Stock,1957,15.03.2020,1,,,,,,150m,1000m,100m,800m,800m,800m,5,"Obermättliweg 10, 6015 Luzern",,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22955831,Wohnung,2070,,,,3.5,,,nachVereinbarung,,,,,,,,,,,,,NaN,6005 Luzern LU,14.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22955832,Wohnung,1980,,,,3.5,,,nachVereinbarung,,,,,,,,,,,,,NaN,6005 Luzern LU,14.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22957535,Wohnung,1740,1540,200,66,3.5,,,01.04.2020,1,,1,,,,,1000m,,103m,,246m,NaN,"Maihofstrasse 31, 6006 Luzern",15.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22956135,Wohnung,2200,1980,220,122,4.5,4.Stock,2008,01.07.2020,1,1,1,1,1,1,300m,1000m,500m,500m,500m,150m,5,"Ruopigenhöhe 22, 6015 Luzern",15.02.2020,luzern,26.02.2020,,,122,,,,,,,,,,,,,,,,
22954884,Wohnung,1350,1100,250,60,3,6.Stock,,sofort,,,1,,1,,,,,,,,NaN,"Stollbergrain 11, 6003 Luzern",14.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22952458,Wohnung,1321,1171,150,50,2.5,,,01.03.2020,1,,,,1,,40m,,1310m,1250m,,550m,NaN,"Geissensteinring 32, 6005 Luzern",14.02.2020,luzern,26.02.2020,,,,1,,,,,,,,,,,,,,,
22961491,Wohnung,1350,1200,150,57,2.5,5.Stock,,sofort,1,1,1,1,,,,,,,,,NaN,"Reusszopf 21, 6015 Luzern",14.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22953311,Wohnung,4480,4100,380,159,5.5,4.Stock,1900,,,,1,,1,1,90m,,,500m,500m,160m,2,"Hofstrasse 1, 6004 Luzern",14.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22961490,Loft,1400,1240,160,80,,2.Stock,,01.03.2020,,1,1,,,,,,,,,,NaN,"Reusszopf 21, 6015 Luzern",14.02.2020,luzern,26.02.2020,1,,,,,,,,,1,,,,,,,,,
22954223,Wohnung,1540,,,79,,,,01.05.2020,,,,,,,,,,,,,NaN,"Blattenmosstrasse  14, 6014 Luzern",14.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22952453,Wohnung,1375,1180,195,62,3,3.Stock,1961,sofort,1,,,,1,,50m,,170m,520m,,780m,5,"Würzenbachstrasse 48, 6006 Luzern",,luzern,26.02.2020,1,,62,,,,,,,,1,148m³,,,,,,,
22952201,Wohnung,1750,1480,270,,3.5,1.Stock,,01.03.2020,,1,,1,,,130m,,300m,450m,,320m,NaN,"Seeburgstrasse 8, 6006 Luzern",,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22961842,Wohnung,1981,1801,180,,3.5,1.Stock,,nachVereinbarung,,,,,,,,,,,,,NaN,"Kreuzbuchstrasse 46, 6006 Luzern",14.02.2020,luzern,26.02.2020,,,,,,1,,,,,,,,,,,,,
22961815,Wohnung,3140,2780,360,108,3.5,28.Stock,2012,nachVereinbarung,,1,1,1,1,1,25m,,1000m,1000m,1000m,25m,NaN,"Zihlmattweg 44, 6005 Luzern",14.02.2020,luzern,26.02.2020,,,,,,1,,,,,,,,,,,,,
22961234,Wohnung,1650,1400,250,75,4,1.Stock,,01.04.2020,1,,,1,1,1,100m,,,,,100m,NaN,"Burgweg 7, 6014 Luzern",,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22946349,Wohnung,1590,1440,150,77,3.5,4.Stock,,01.04.2020,1,,1,,1,,50m,,,,,50m,NaN,"Kellerstrasse 19, 6005 Luzern",13.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22949454,Wohnung,1540,1340,200,60,3,,,01.04.2020,1,,1,,,,5m,,,,,,NaN,"Maihofstrasse 71, 6006 Luzern",14.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22949413,Wohnung,2250,2000,250,101,2.5,6.Stock,1958,nachVereinbarung,,,1,,1,,200m,,1500m,1500m,1500m,10m,4,"Weinmarkt 9, 6004 Luzern",13.02.2020,luzern,26.02.2020,,1,,,,,,,,,,,,,,,,,
22939617,Wohnung,1310,1170,140,43,2,4.Stock,1961,01.05.2020,,,1,,,,,,,184m,,,4,"Neustadtstr. 8c, 6003 Luzern",12.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22940887,Wohnung,4200,3900,300,99,3.5,7.Stock,1900,,1,,1,,1,1,90m,,,500m,500m,160m,NaN,"Hofstrasse 1, 6004 Luzern",13.02.2020,luzern,26.02.2020,,,161,,,,,,,,,,,,,,,,
22947152,Wohnung,1220,1120,100,44,1.5,3.Stock,,01.06.2020,,,,,,,,250m,,,,10m,NaN,"Rössligasse 13, 6003 Luzern",13.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22949426,Wohnung,2210,1970,240,72,3.5,18.Stock,2012,nachVereinbarung,,1,1,1,1,1,25m,,1000m,1000m,1000m,25m,3,"Zihlmattweg 44, 6005 Luzern",13.02.2020,luzern,26.02.2020,,,,,,1,,,,,,,,,,,,,
22940072,Wohnung,1060,,,135,1,4.Stock,,01.03.2020,1,,1,,1,,,,,,,,NaN,"Roessligasse 16, 6004 Luzern LU",12.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22944976,Wohnung,2380,2080,300,90,3.5,3.Stock,,nachVereinbarung,1,1,1,,1,,,,,,,,NaN,"Schützenstrasse 15, 6003 Luzern",13.02.2020,luzern,26.02.2020,,,,,1,,,,,,1,,,,,,,,
22938220,Wohnung,1550,1450,100,32,1,2.Stock,2019,sofort,,,1,1,,,130m,,400m,400m,400m,500m,2,"Sternmattstrasse 18, 6006 Luzern",,luzern,26.02.2020,,,32,,,1,,,,,,,,,,,,,
22936800,Maisonette,2780,2500,280,,4,7.Stock,,15.03.2020,1,,1,,1,,,,,,,,NaN,"Bundesstrasse 25, 6003 Luzern",12.02.2020,luzern,26.02.2020,,,142,,,,,,1,,,,,,,,,,
22936804,Attika,2250,2100,150,,1.5,5.Stock,,,1,,1,1,1,,,,,,,,NaN,"Grabenstrasse 13, 6004 Luzern",12.02.2020,luzern,26.02.2020,,,,,,,,,1,,,,,,,,,,
22936807,Wohnung,1850,1650,200,71,2.5,Untergeschoss,2015,04.04.2020,1,1,1,1,,1,,,,,,,NaN,"Bireggring 18, 6005 Luzern",12.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22939333,Wohnung,1480,,,52,2,EG,1966,sofort,1,,1,1,1,1,100m,,100m,100m,300m,100m,4,"Zumbachweg 18, 6005 Luzern",12.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22936186,Wohnung,1350,1250,100,19,1,,2019,01.03.2020,,,1,1,,,130m,,400m,400m,400m,500m,NaN,"Sternmattstrasse 18, 6005 Luzern",12.02.2020,luzern,26.02.2020,,,,,,1,,,,,,,,,,,,,
22939462,Wohnung,1590,1320,270,61,2.5,3.Stock,1969,01.04.2020,1,1,1,1,1,1,180m,,550m,550m,1000m,150m,4,"Schönbühlring 7, 6005 Luzern",12.02.2020,luzern,26.02.2020,1,1,,,,,,,,,,162m³,,,,,,,
22936799,Wohnung,2150,1850,300,107,4.5,3.Stock,,sofort,1,,1,,,,100m,500m,,,,100m,NaN,"Moosstrasse 9, 6003 Luzern",12.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22935397,Wohnung,1820,1670,150,82,2.5,3.Stock,,nachVereinbarung,,,,,1,,,,,,,,NaN,"Mühlenplatz 1, 6004 Luzern",12.02.2020,luzern,26.02.2020,,,,,,,,,1,,,,,,,,,,
22936802,Wohnung,600,500,100,21,1,2.Stock,1977,01.06.2020,,,1,,,,200m,800m,,,,50m,6,"Cysatstrasse 6, 6004 Luzern",12.02.2020,luzern,26.02.2020,,,21,,,,,,,,,,,,,,,,
22928482,Wohnung,2000,1800,200,98,4.5,2.Stock,2000,sofort,1,,1,,1,,280m,,200m,300m,300m,150m,4,"Ruopigenhöhe 20, 6015 Luzern",11.02.2020,luzern,26.02.2020,,,,,1,1,,,,,,,,,,,,,
22932145,Wohnung,1930,1680,250,80,4.5,1.Stock,1923,sofort,,,1,1,1,,200m,1000m,500m,500m,1000m,200m,4,"Bireggstrasse 20, 6003 Luzern",,luzern,26.02.2020,,,,,,,,,,,,,250cm,,,,,,
22934689,Wohnung,2010,1750,260,100,4.5,3.Stock,,01.06.2020,1,1,1,1,1,1,100m,,,,,200m,NaN,"Seeburgstrasse 8, 6006 Luzern",,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22934416,Einzelzimmer,850,,,24,1,EG,1976,01.04.2020,1,,,,1,,5m,1000m,,,,,4,"Brambergstrasse 22, 6004 Luzern",12.02.2020,luzern,26.02.2020,,,,,1,,,,,,,,,,,,,,
22934391,Wohnung,1790,1540,250,80,3.5,4.Stock,,,,,,,,,,,,,,,NaN,6004 Luzern,11.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
23018745,Wohnung,1361,,,,2,,,nachVereinbarung,,,,,,,,,,,,,NaN,6003 Luzern LU,11.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22930215,Wohnung,790,640,150,20,1,4.Stock,1966,01.05.2020,,,1,1,1,,500m,,300m,1400m,900m,1000m,4,"Täschmattstrasse 11, 6015 Luzern",11.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22930213,Studio,1200,,,85,1,,1987,sofort,,,,1,1,1,10m,,100m,100m,300m,100m,NaN,"Hirtenhofstr. 69, 6005 Luzern",11.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22930765,Wohnung,1400,,,,3.5,,,nachVereinbarung,,,,,,,,,,,,,NaN,6004 Luzern LU,11.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22932096,Wohnung,1430,1320,110,,1.5,2.Stock,,,,,1,,,1,,,,,,,NaN,"Obermättlistrasse 14, 6015 Luzern",11.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22930340,Wohnung,2510,2200,310,99,3.5,1.Stock,2011,01.03.2020,,1,1,1,1,,200m,,1600m,1600m,1600m,200m,5,"Güterstr. 2, 6005 Luzern",11.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22919567,Wohnung,1350,1200,150,30,1.5,4.Stock,,nachVereinbarung,,,,,1,,100m,,,,,100m,NaN,"Grimselweg 4, 6005 Luzern",10.02.2020,luzern,26.02.2020,,1,,,,,,,,,,,,,,,,,
22918118,Wohnung,1620,1470,150,75,3.5,3.Stock,,sofort,1,1,,1,1,1,120m,,30m,350m,,100m,NaN,"Mattweg 1, 6014 Luzern",,luzern,26.02.2020,1,,,,,,,,1,,,,,,,,,,
22929315,Wohnung,1590,1360,230,76,3.5,,,nachVereinbarung,,,,,,,100m,,,,,100m,NaN,"Kauffmannweg 26, 6003 Luzern",11.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22921016,Wohnung,1730,1440,290,94,4,EG,1996,nachVereinbarung,,,1,,,,250m,1500m,100m,100m,250m,300m,5,"Ruopigenstrasse 26, 6015 Luzern",10.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22921325,Maisonette,4150,3750,400,150,5.5,3.Stock,,nachVereinbarung,1,1,,,,,,,,,,,NaN,6006 Luzern,10.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22923485,Wohnung,1540,1290,250,90,3.5,,1990,01.04.2020,1,,1,,,,,,,,,,5,"Ruopigenring 73, 6015 Luzern",11.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22991050,Wohnung,1790,1650,140,60,2.5,EG,,sofort,,,1,,,,,,,,,,NaN,6004 Luzern,11.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22922438,Wohnung,1480,1350,130,64,2,4.Stock,1956,nachVereinbarung,1,,1,,1,,200m,,1500m,1500m,1500m,10m,5,"Weinmarkt 11, 6004 Luzern",10.02.2020,luzern,26.02.2020,,1,,,,,,,,,,,,,,,,,
22912640,Wohnung,1510,,,57,3,,,nachVereinbarung,,,,,,,,,,,,,NaN,6003 Luzern,08.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22910138,Wohnung,1690,1540,150,75,3.5,7.Stock,,nachVereinbarung,1,,1,,,1,290m,,410m,540m,,610m,NaN,"Längweiherstrasse 56, 6014 Luzern",08.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22915715,Wohnung,2190,,,,4,,,nachVereinbarung,,,,,,,,,,,,,NaN,6003 Luzern LU,10.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22915714,Wohnung,1900,,,,4,,,nachVereinbarung,,,,,,,,,,,,,NaN,6005 Luzern LU,10.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22916696,Wohnung,2000,1900,100,85,4.5,1.Stock,2017,01.05.2020,1,,,,1,,100m,800m,100m,500m,800m,500m,5,"Bernstrasse 57, 6003 Luzern",10.02.2020,luzern,26.02.2020,1,,,,,1,,,,,,,,,,,,,
22918642,Wohnung,1900,1750,150,72,3,3.Stock,,01.03.2020,1,,1,,1,,20m,800m,,,,50m,NaN,"Sempacherstrasse 1, 6003 Luzern",10.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22920041,Wohnung,1420,1260,160,56,2,4.Stock,1956,nachVereinbarung,,,1,,1,,200m,,1500m,1500m,1500m,10m,4,"Weinmarkt 11, 6004 Luzern",10.02.2020,luzern,26.02.2020,,1,,,,,,,,,,,,1,,,,,
22920037,Wohnung,1250,1030,220,55,2.5,4.Stock,1978,nachVereinbarung,1,1,1,1,1,1,200m,,200m,500m,1500m,1000m,5,"Längweiherstr. 10, 6014 Luzern",10.02.2020,luzern,26.02.2020,1,1,,,,,,,,,,,,,,,,,
22917234,Wohnung,1570,1450,120,45,2.5,3.Stock,,01.04.2020,,,1,,1,,80m,80m,,,,50m,NaN,"Bleicherstrasse 16, 6003 Luzern",10.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22916757,Wohnung,1470,1320,150,65,2.5,EG,2010,01.04.2020,1,1,1,1,1,,300m,6000m,,,,,5,"Unterlöchlistrasse 41, 6006 Luzern",10.02.2020,luzern,26.02.2020,,,,,1,,,,,,1,,,,,,,,
22909255,Wohnung,1875,1610,265,75,3.5,2.Stock,1978,nachVereinbarung,,,1,,,,,,,307m,,,4,"Liebenauweg 8, 6006 Luzern",07.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22907414,Wohnung,1530,1320,210,58,3,4.Stock,,,,,,,,,,,,,,,NaN,6003 Luzern,07.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22908857,Attika,2100,1860,240,100,3.5,,2019,sofort,1,1,1,,,1,,,,,,,5,"Thorenbergstrasse 15/17, 6014 Luzern",07.02.2020,luzern,26.02.2020,1,,,,,1,,,,1,,,,,,,,,
22908827,Wohnung,2150,1900,250,89,3,3.Stock,2012,sofort,1,,1,,1,,100m,,,,,100m,5,"Gibraltarstrasse 32, 6003 Luzern",07.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
15292843,Attika,2980,2785,195,140,3,6.Stock,1904,sofort,1,,,,1,,100m,,,,,200m,4,"Ledergasse 10, 6004 Luzern",07.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22908841,Dachwohnung,1850,1600,250,93,2.5,5.Stock,1932,01.04.2020,,,1,,1,,400m,,300m,300m,300m,700m,5,"Voltastrasse 26, 6005 Luzern",07.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22905429,Wohnung,1970,1750,220,102,3.5,1.Stock,2016,,1,1,1,1,1,1,100m,4000m,50m,400m,500m,400m,5,"Cheerstrasse 13d, 6014 Luzern",07.02.2020,luzern,26.02.2020,,,102,,,,,,,,,,,,,,,,
22909256,Wohnung,1530,1320,210,58,3,4.Stock,,nachVereinbarung,,,,,,,,,,,,,NaN,"Bernstrasse 57 b, 6003 Luzern",07.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22944035,Wohnung,2120,,,87,3.5,,,01.03.2020,1,,1,,,1,200m,5000m,470m,470m,2200m,300m,NaN,"Seefeldstrasse, 6006 Luzern",07.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22907407,Wohnung,1875,1610,265,75,3.5,2.Stock,,,,,,,,,,,,,,,NaN,6006 Luzern,07.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22903923,Wohnung,155,,,,,Untergeschoss,,sofort,,,,,,,,,,,,,NaN,"Landenbergstrasse 31, 6005 Luzern",07.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
