,Objektart,MietpreisproMonat,MietpreisproMonat(exkl.NK),Nebenkosten,Wohnfläche,Zimmer,Geschoss,Verfügbarab,Balkon(e),Lift,AltesGebäude,ÖV-Haltestelle,Einkaufsmöglichkeit,rating,adress,publication_date,city,DateofScrapping,Nutzfläche,Baujahr,Aussenparkplatz,Haustiereerlaubt,Kabel-TV,Kinderfreundlich,Kindergarten,Primarschule,Sekundarschule,Autobahn,Einstellplatz,Rollstuhlgängig,Minergie-zertifiziert,Cheminée,Kubatur,Hochparterre,Neubau,Wohnungen,Wasseranschluss,Toiletten,Mittelhaus,Möbliert,JährlicherMietpreisprom²,JährlicherMietpreisprom²(exkl.NK)
22987640,Wohnung,950,800,150,32,1,1.Stock,sofort,,,,,,NaN,"Schifflaube 24, 3011 Bern BE",20.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22996917,Wohnung,1350,,,67,3,,sofort,,,,,,NaN,"Baumgartenstrasse 15, 3018 Bern",20.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22989088,Wohnung,3500,3200,300,110,5,2.Stock,01.05.2020,1,,,400m,140m,NaN,"Helvetiastrasse 27, 3005 Bern",,bern,26.02.2020,,,,,1,1,570m,,,,,,,,,,,,,,,,,
22985085,Wohnung,1580,,,60,2.5,4.Stock,sofort,1,,,,,NaN,"Dorngasse 4, 3006 Bern BE",19.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22983446,Wohnung,1300,,,31,1,,01.08.2020,,,,,,NaN,3007 Bern,19.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22988431,Attika,2680,2450,230,,2.5,3.Stock,sofort,1,1,,200m,800m,NaN,"Bitziusstrasse 40, 3006 Bern",20.02.2020,bern,26.02.2020,,2016,,1,,1,950m,500m,500m,1000m,1,,,,,,,,,,,,,
22985629,Wohnung,2600,2270,330,123,4.5,3.Stock,sofort,,,,,,NaN,"Murtenstrasse 143 G, 3008 Bern",19.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22985339,Wohnung,1700,1490,210,82,3.5,2.Stock,01.04.2020,1,,,150m,,4,"Heckenweg 4, 3007 Bern",19.02.2020,bern,26.02.2020,,1961,,,,,,500m,500m,,,,,,,,,,,,,,,
22985624,Attika,1730,1550,180,43,2,5.Stock,01.05.2020,,,,,,NaN,"Brückfeldstr. 19, 3012 Bern",19.02.2020,bern,26.02.2020,,1976,,1,,,,,,,,,,,,,,,,,,,,
22983541,Wohnung,1530,,,62,2.5,,01.04.2020,,,,,,NaN,"Grünerweg 5, 3013 Bern",19.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22984174,Wohnung,1700,1490,210,82,3.5,2.Stock,,,,,,,NaN,3007 Bern,19.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22985498,Wohnung,2300,2050,250,120,3,3.Stock,sofort,,,1,,100m,NaN,"Gerechtigkeitsgasse 77, 3011 Bern",,bern,26.02.2020,,,,,,,,,,,,,,1,,,,,,,,,,
22984975,Wohnung,690,,,12,1,1.Stock,sofort,1,1,,,,NaN,"Weiermattstr 74, 3027 Bern BE",19.02.2020,bern,26.02.2020,,,,,1,,,,,,,,,,,,,,,,,,,
22988283,Wohnung,1370,1150,220,,3,9.Stock,sofort,1,1,,,,NaN,"Looslistrasse 66, 3027 Bern",19.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22982410,Einzelzimmer,950,,,18,,,sofort,,,,,,NaN,"Schläflirain 7, 3013 Bern",19.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22981792,Wohnung,1330,1050,280,65,3,,01.06.2020,,,,,400m,5,"Goumoensstrasse 43, 3007 Bern",19.02.2020,bern,26.02.2020,,1948,,1,1,,200m,1100m,1100m,,,,,,,,,,,,,,,
22978925,Wohnung,3160,2860,300,122,4.5,4.Stock,01.05.2020,1,1,,20m,20m,NaN,"Viktoriastrasse 21, 3013 Bern",18.02.2020,bern,26.02.2020,,,,1,,,300m,500m,500m,2000m,1,,,,,,,,,,,,,
22983111,Wohnung,1250,1080,170,55,2,3.Stock,01.04.2020,1,,,,,NaN,"Seftigenstrasse 93, 3007 Bern",19.02.2020,bern,26.02.2020,,,,1,,,,,,,1,,,,,,,,,,,,,
22978923,Einzelzimmer,750,,,14,,,sofort,,,,,,NaN,"Länggasse, 3012 Bern",18.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22983220,Wohnung,1690,1400,290,,3.5,2.Stock,sofort,1,1,,,,NaN,"Könizstrasse 29, 3008 Bern",,bern,26.02.2020,,,,,1,,,,,,,,,,,,,,,,,,,
22983138,Wohnung,1330,1050,280,65,3,EG,01.06.2020,,,,200m,400m,5,"Goumoensstrasse 43, 3007 Bern",19.02.2020,bern,26.02.2020,,1948,,1,1,,200m,1100m,1100m,,,,,,,,,,,,,,,
22992546,Wohnung,920,,,,2,,nachVereinbarung,,,,,,NaN,3018 Bern BE,19.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22981726,Wohnung,1820,1600,220,75,3,Untergeschoss,01.06.2020,1,,,220m,700m,NaN,"Muristrasse 88, 3006 Bern",19.02.2020,bern,26.02.2020,,,,,,,220m,220m,220m,1000m,,,,,,,,,,,,,,
22976921,Dachwohnung,1165,965,200,53,2,3.Stock,01.05.2020,,,,240m,900m,NaN,"Biderstrasse 23, 3006 Bern",18.02.2020,bern,26.02.2020,,,,,1,,350m,,,1500m,,,,,,,,,,,,,,
22978084,Wohnung,1380,1100,280,58,3,EG,sofort,1,1,,170m,300m,4,"Waldmannstrasse 10, 3027 Bern",18.02.2020,bern,26.02.2020,,1964,,,,,1000m,700m,,,,,,,,,,,,,,,,
22978104,Wohnung,1840,1600,240,88,3.5,EG,sofort,1,1,,570m,150m,NaN,"Jupiterstrasse 49a, 3015 Bern",,bern,26.02.2020,,,,,,1,470m,,,,1,,,,,,,,,,,,,
22977163,Wohnung,1630,1490,140,55,2.5,10.Stock,01.08.2020,1,1,,100m,450m,4,"Hilfikerstrasse 4, 3014 Bern",,bern,26.02.2020,,2020,,,,,2510m,1670m,,,1,,1,,,,1,,,,,,,
22976434,Wohnung,920,,,23,1,,01.04.2020,,,,,,NaN,"Thunstrasse 103, 3006 Bern",18.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22976247,Dachwohnung,690,,,100,4.5,,nachVereinbarung,,,,,,NaN,"Seftigenstrasse 47, 3007 Bern",18.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22976109,Wohnung,2000,,,90,,,01.04.2020,,,,,,NaN,"Optingestrasse 4, 3013 Bern",18.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22989567,Wohnung,1250,,,,2.5,,sofort,,,,,,NaN,"Morillonstrasse, 3007 Bern",18.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23015857,Wohnung,1400,,,,3.5,,nachVereinbarung,,,,,,NaN,3007 Bern BE,18.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22977159,Wohnung,1570,1370,200,,2.5,2.Stock,01.04.2020,1,,,230m,260m,NaN,"Rodtmattstrasse 51, 3014 Bern",,bern,26.02.2020,,,,1,1,,550m,690m,,,,,,,,,,,,,,,,
22973983,Dachwohnung,2000,1675,325,90,4,4.Stock,01.04.2020,,1,,220m,650m,NaN,"Optingenstrasse 4, 3013 Bern",18.02.2020,bern,26.02.2020,,,,,1,,600m,450m,450m,3000m,1,,,,,,,,,,,,,
22972391,Dachwohnung,1380,,,,3,,nachVereinbarung,,,,,,NaN,3006 Bern BE,18.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22975983,Wohnung,1350,1165,185,53,2.5,2.Stock,01.05.2020,1,,1,100m,500m,NaN,"Zwyssigstrasse 41, 3007 Bern",,bern,26.02.2020,,,,,1,,250m,250m,250m,,,,,,,,,,,,,,,
22983532,Wohnung,935,,,,1,,nachVereinbarung,,,,,,NaN,"Hildanusstrasse 18, 3013 Bern",18.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22976101,Wohnung,1750,,,80,3,,01.03.2020,,,,,,NaN,"Waldstätterstrasse 23, 3014 Bern",18.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
17555800,Wohnung,2980,2680,300,102,4,4.Stock,01.05.2020,1,1,1,50m,100m,NaN,"Viktoriastrasse 41, 3013 Bern",,bern,26.02.2020,102,1931,,,1,,,,,2000m,,,,,,,,,,,,,,
22974055,Wohnung,1804,1524,280,90,3,3.Stock,nachVereinbarung,,,,,,NaN,"Bolligenstrasse 46 A, 3006 Bern",18.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22974414,Wohnung,2850,2500,350,110,4,2.Stock,01.04.2020,1,1,1,250m,250m,2,"Gutenbergstrasse 29, 3011 Bern",,bern,26.02.2020,110,1920,,1,1,,250m,250m,250m,,,,,,,,,,,,,,,
22972384,Dachwohnung,1350,,,,2.5,,nachVereinbarung,,,,,,NaN,3014 Bern BE,18.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22976009,Wohnung,2220,2010,210,84,3.5,8.Stock,16.07.2020,1,1,,100m,450m,4,"Hilfikerstrasse 4, 3014 Bern",,bern,26.02.2020,,2020,,1,,,2510m,1670m,,,1,,1,,,,1,,,,,,,
22968430,Wohnung,1290,1150,140,,1,4.Stock,01.05.2020,,,,,,NaN,"Rodtmattstrasse 83, 3014 Bern",17.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22972274,Wohnung,1040,,,,1.5,,nachVereinbarung,,,,,,NaN,3007 Bern BE,18.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22970510,Dachwohnung,1965,1745,220,89,3.5,4.Stock,16.03.2020,,,,,,4,"Lagerweg 2, 3013 Bern",17.02.2020,bern,26.02.2020,,1938,,1,1,,,16m,,,,,,,,,,,,,,,,
22969201,Dachwohnung,2900,2550,350,143,4.5,2.Stock,01.06.2020,1,,,210m,585m,NaN,"Kalcheggweg 27, 3006 Bern",17.02.2020,bern,26.02.2020,,,1,,1,,680m,850m,,,,,,1,,,,,,,,,,
22972269,Wohnung,850,,,18,1,EG,nachVereinbarung,1,,,,,NaN,"Sandrainstrasse 68, 3007 Bern BE",18.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22972268,Wohnung,690,,,15,1,4.Stock,sofort,,1,,,,NaN,"Seftigenstrasse 47, 3007 Bern BE",18.02.2020,bern,26.02.2020,,2018,,,1,,,,,,,,,,,,,,,,,,,
22970532,Wohnung,1320,1100,220,67,3.5,8.Stock,nachVereinbarung,,,,200m,400m,NaN,"Waldmannstrasse 53, 3027 Bern",,bern,26.02.2020,,,,,,,300m,670m,1300m,2000m,,,,,,,,,,,,,,
22970533,Wohnung,1320,1100,220,67,3.5,8.Stock,01.05.2020,,,,200m,250m,NaN,"Fellerstrasse 50, 3027 Bern",,bern,26.02.2020,,,,,,,200m,500m,1300m,2000m,,,,,,,,,,,,,,
22970327,Studio,880,750,130,33,1,3.Stock,01.05.2020,,1,,50m,100m,4,"Mattenhofstr. 15, 3007 Bern",17.02.2020,bern,26.02.2020,,1992,,1,1,1,500m,500m,1000m,,1,,,,,,1,,,,,,,
22969161,Wohnung,1490,1340,150,,2.5,,01.05.2020,1,1,1,10m,160m,NaN,"Winkelriedstrasse 68, 3014 Bern",,bern,26.02.2020,63,,,,1,,340m,320m,,,,,,,,1,,,,,,,,
22970590,Wohnung,1835,1505,330,104,4.5,2.Stock,01.05.2020,1,1,,,,NaN,"Werkgasse 40, 3018 Bern",17.02.2020,bern,26.02.2020,,,1,,1,,,,,,,,,,,,,,,,,,,
22965669,Wohnung,1750,,,87,3,,sofort,,,,,,NaN,"Waldstätterstrasse, 3014 Bern",17.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22965670,Attika,1350,1200,150,64,2.5,3.Stock,,1,,,,,4,"Bümplizstrasse 173, 3018 Bern",17.02.2020,bern,26.02.2020,58,1951,,,1,,,,,,,,,,,,,,,,,,,
22967255,Wohnung,2740,2490,250,,4.5,2.Stock,01.03.2020,1,,,100m,100m,NaN,"Frikartweg 11, 3006 Bern",,bern,26.02.2020,,,,1,1,1,250m,250m,,,1,,1,,,,,,,,,,,
22970172,Wohnung,1480,1230,250,75,3,2.Stock,sofort,,,,,,NaN,"Freiburgstrasse 506, 3018 Bern",17.02.2020,bern,26.02.2020,,,1,1,,,,,,,,,,,,,,,,,,,,
22967543,Dachwohnung,1250,,,,2,,nachVereinbarung,,,,,,NaN,"Muristrasse 72, 3006 Bern",17.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22967107,Wohnung,1320,1150,170,53,3,2.Stock,01.05.2020,,,,300m,500m,4,"Keltenstrasse 82, 3018 Bern",,bern,26.02.2020,,1954,,,,,,,,,,,,,,,,,,,,,,
22967185,Wohnung,1160,1000,160,,2.5,1.Stock,01.04.2020,1,,1,25m,75m,NaN,"Schlossstrasse 124, 3008 Bern",,bern,26.02.2020,,,,,1,,,,,300m,,,,,,,,,,,,,,
22965671,Wohnung,1440,,,69,3,,sofort,,,,,,NaN,"Bümpliz, 3018 Bern",17.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22975988,Wohnung,1430,1300,130,,2,2.Stock,01.05.2020,1,,,,,NaN,"Könizstrasse 4, 3008 Bern",17.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22965666,Wohnung,1200,,,,4.5,,sofort,,,,,,NaN,3014 Bern,17.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22965663,Wohnung,1550,,,70,4,,sofort,,,,,,NaN,3012 Bern,17.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22965117,Wohnung,1805,1510,295,63,3.5,,,,,,,,NaN,3007 Bern,17.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22965360,Wohnung,2870,2650,220,89,3,2.Stock,01.05.2020,,,,80m,30m,NaN,"Marktgasse 17, 3011 Bern",17.02.2020,bern,26.02.2020,,1731,,,,,,,,,,,,,,,,,,,,,,
22965114,Wohnung,1615,1400,215,63,3,,,,,,,,NaN,3007 Bern,17.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22967024,Wohnung,1805,1510,295,63,3.5,EG,01.04.2020,,,,350m,400m,3,"Kirchbühlweg 48, 3007 Bern",17.02.2020,bern,26.02.2020,,1929,,,,,2200m,550m,280m,,,,,,,,,,,,,,,
22965361,Wohnung,1615,1400,215,63,3,EG,01.05.2020,,,,60m,120m,4,"Holzikofenweg 5, 3007 Bern",17.02.2020,bern,26.02.2020,,1905,,,,,,,,,,,,,,,,,,,,,,
22963491,Wohnung,1910,,,,4,,nachVereinbarung,,,,,,NaN,3007 Bern BE,17.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22965391,Wohnung,1195,1020,175,,2.5,14.Stock,sofort,,1,,500m,100m,NaN,"Jupiterstrasse 45, 3015 Bern",,bern,26.02.2020,,,,1,1,1,,,,,,1,,,,,,,,,,,,
22965421,Wohnung,1690,1530,160,,3,EG,01.04.2020,1,,1,100m,50m,NaN,"Könizstrasse 63, 3008 Bern",,bern,26.02.2020,,,,,1,1,1400m,500m,500m,1000m,,,,,,,,,,,,,,
22960601,Einzelzimmer,700,,,30,,,nachVereinbarung,,,,,,NaN,3013 Bern,16.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22978918,Einzelzimmer,920,,,14,,,sofort,,,,,,NaN,"Brunnmattstrasse 22, 3007 Bern",17.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22961573,Dachwohnung,1680,1540,140,75,2.5,5.Stock,01.05.2020,1,,1,100m,100m,4,"Weissensteinstrasse 27, 3008 Bern",,bern,26.02.2020,,1927,,,,,,,,,,,,1,,,,,,,,,,
22963488,Studio,1000,,,,1,,nachVereinbarung,,,,,,NaN,3013 Bern BE,17.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22962980,Wohnung,1550,1350,200,66,3,2.Stock,01.05.2020,1,,,100m,500m,4,"Winkelriedstrasse 63, 3014 Bern",,bern,26.02.2020,66,1950,,,1,,100m,200m,300m,1000m,,,,,,,,,,,,,,
22958131,Einzelzimmer,1000,,,18,,,sofort,,,,,,NaN,"Schwanengasse 3, 3011 Bern",15.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22961553,Wohnung,1600,1400,200,,2.5,3.Stock,sofort,1,,1,180m,250m,NaN,"Rodtmattstrasse 52, 3014 Bern",,bern,26.02.2020,,,,,1,,1050m,940m,,1200m,,,,,,,,,,,,,,
22962895,Dachwohnung,1800,1550,250,110,3.5,2.Stock,01.04.2020,,,1,100m,300m,6,"Kirchenfeldstrasse 10, 3005 Bern",,bern,26.02.2020,100,1899,,,1,,,,,1500m,,,,,,,,,,,,,,
22962389,Wohnung,2100,,,73,3.5,1.Stock,02.03.2020,,,1,,,NaN,"Hallerstrasse 21, 3012 Bern",,bern,26.02.2020,73,,1,,1,,,,,,,,,,,,,,,,,,,
22963487,Wohnung,1500,,,55,1,6.Stock,01.04.2020,1,,,,,4,3011 Bern BE,17.02.2020,bern,26.02.2020,,2010,,,1,,,,,,,,,,,,,,,,,,,
22955102,Studio,1160,,,,1,,nachVereinbarung,,,,,,NaN,3013 Bern BE,14.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22956336,Wohnung,aufAnfrage,,,,1,,nachVereinbarung,,,,,,NaN,3007 Bern BE,15.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22958129,Wohnung,1250,,,,2,,sofort,,,,,,NaN,"seftigenstrasse 93, 3007 Bern",15.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22955398,Wohnung,1280,,,,2.5,,nachVereinbarung,,,,,,NaN,3007 Bern BE,14.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22955045,Wohnung,1000,,,,1.5,,nachVereinbarung,,,,,,NaN,3014 Bern BE,14.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22955397,Wohnung,400,,,,1,,nachVereinbarung,,,,,,NaN,3007 Bern BE,14.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22955403,Wohnung,2310,2080,230,95,4.5,3.Stock,01.07.2020,1,1,,150m,100m,3,"Könizstrasse 21, 3008 Bern",14.02.2020,bern,26.02.2020,95,1990,,,1,1,550m,650m,550m,1000m,1,,,1,,,,,,,,,,
22955768,Wohnung,1180,,,55,2,,sofort,,,,,,NaN,3018 Bern,14.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22955757,Wohnung,2420,,,100,4.5,,sofort,,,,,,NaN,"Schwarztorstrasse 102, 3007 Bern",14.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23000226,Wohnung,490,,,,2,,nachVereinbarung,,,,,,NaN,3006 Bern BE,14.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22952290,Wohnung,2370,2090,280,83,3.5,2.Stock,01.05.2020,1,,1,100m,500m,NaN,"Stadtbachstrasse 40, 3012 Bern",,bern,26.02.2020,,,,,1,,,,,,,,,,,,,,,,,,,
23004673,Wohnung,1460,1350,110,45,1.5,EG,01.05.2020,,,,400m,400m,NaN,"Flurstrasse 29, 3014 Bern",14.02.2020,bern,26.02.2020,,1932,,1,1,,200m,700m,800m,,,,,,,,,,,,,,,
22954473,Wohnung,1700,1500,200,,2.5,4.Stock,,,,,,,NaN,3014 Bern,14.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22951911,Wohnung,1630,1450,180,,3,EG,01.04.2020,1,,1,,,NaN,"Sulgenrain 8, 3007 Bern",,bern,26.02.2020,,1930,,,1,,,,,,,,,,,,,,,,,,,
22952289,Wohnung,1490,1290,200,,3.5,2.Stock,01.03.2020,1,,1,100m,250m,NaN,"Ginsterweg 16, 3006 Bern",,bern,26.02.2020,,,,,1,1,,,,,,,,,,,,,,,,,,
22962722,Wohnung,1690,1440,250,71,3,4.Stock,nachVereinbarung,,,,,,NaN,"Effingerstrasse 41d, 3008 Bern",14.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22954197,Studio,1000,,,40,1,,nachVereinbarung,,,,,,NaN,"Schlossstrasse 118, 3008 Bern",14.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22955753,Wohnung,1280,1100,180,58,2,1.Stock,01.05.2020,,,,10m,170m,NaN,"Schwarztorstrasse 95, 3007 Bern",14.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22962560,Wohnung,2260,2000,260,,3.5,1.Stock,sofort,1,,,,,NaN,"Morellweg 12, 3007 Bern",14.02.2020,bern,26.02.2020,83,1907,,,1,1,,,,,,,,,,,,1,,,,,,
22965416,Wohnung,2950,2700,250,125,4.5,EG,01.04.2020,1,1,,200m,200m,NaN,"Tscharnerstrasse 16, 3007 Bern",,bern,26.02.2020,,,,,,1,,,,,,,,,,,,,,,,,,
22949449,Wohnung,1590,1400,190,,3.5,EG,01.03.2020,1,,,50m,50m,NaN,"Looslistrasse 79, 3027 Bern",,bern,26.02.2020,,,,,1,,,,,500m,,,,,,,,,,,,,,
22946536,Wohnung,1050,1000,50,45,2,1.Stock,01.03.2020,,,,200m,360m,NaN,"Federweg 24, 3008 Bern",,bern,26.02.2020,42,,,,,,740m,730m,,,,,,,,,,,,,,,,
22949689,Wohnung,2150,1900,250,,4.5,1.Stock,sofort,1,,,100m,480m,NaN,"Robinsonweg 38, 3006 Bern",,bern,26.02.2020,,1974,1,1,1,1,50m,,,,,,,,,,,,,,,,,
22947161,Wohnung,1780,1460,320,101,4,3.Stock,01.05.2020,,,,500m,500m,5,"Belpstrasse 28, 3007 Bern",,bern,26.02.2020,,1950,,,,,1000m,950m,950m,,,,,,,,,,,,,,,
22946168,Wohnung,2730,2380,350,100,3.5,EG,01.05.2020,,1,,120m,600m,NaN,"Frikartweg 21, 3006 Bern",,bern,26.02.2020,,,,,,,,,,,,1,,,,,,,,,,,,
22949555,Wohnung,950,800,150,25,1,EG,01.06.2020,,,,,,3,"Gesellschaftsstr. 42, 3012 Bern",13.02.2020,bern,26.02.2020,,1977,,1,,,,,,,,,,,,,,,,,,,,
22963729,Studio,710,,,,1,,nachVereinbarung,,,,,,NaN,3011 Bern BE,13.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22947888,Wohnung,600,550,50,11,1,4.Stock,nachVereinbarung,1,1,,,,NaN,3007 Bern BE,13.02.2020,bern,26.02.2020,,1980,,,,,,,,,,,,,,,,,,,,,,
22951125,Wohnung,1420,1160,260,76,3.5,6.Stock,sofort,,1,,100m,50m,5,"Effingerstr. 103, 3008 Bern",,bern,26.02.2020,,1948,,,,,,120m,,,,,,,,,,,,,,,,
13552194,Wohnung,2500,2300,200,100,5,2.Stock,01.07.2020,1,,1,200m,200m,NaN,"Holligenstrasse 94, 3008 Bern",,bern,26.02.2020,100,,1,,1,,,,,500m,,,,,,,,,,,,,,
22951945,Wohnung,2450,2170,280,85,3.5,1.Stock,01.04.2020,1,,,820m,180m,2,"Nordweg 10, 3013 Bern",13.02.2020,bern,26.02.2020,,1882,1,,,,150m,290m,,750m,1,,,,,,,,,,,,,
22943663,Dachwohnung,1280,,,55,2.5,3.Stock,01.04.2020,,,1,100m,100m,NaN,"Balmweg 33, 3007 Bern",13.02.2020,bern,26.02.2020,,,,,,,,,,1000m,,,,,,,,,,,,,,
22944029,Wohnung,2140,1840,300,90,4.5,2.Stock,01.05.2020,1,1,1,50m,800m,NaN,"Länggassstrasse 91, 3012 Bern",,bern,26.02.2020,,,,1,1,,,,,1200m,,,,,,,,,,,,,,
22944583,Wohnung,2000,,,,3,,sofort,,,,,,NaN,3006 Bern,13.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22951947,Wohnung,1410,1250,160,70,2.5,3.Stock,01.05.2020,1,,,350m,350m,NaN,"Olivenweg 44, 3018 Bern",13.02.2020,bern,26.02.2020,,,,,,,,,,750m,,,,,,,,,,,,,,
22944580,Wohnung,1630,,,70,3,,sofort,,,,,,NaN,"Kirchenfeldstrasse 53, 3005 Bern",13.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22944050,Wohnung,1390,1200,190,70,3,1.Stock,01.05.2020,1,,,,,NaN,"Schlossstrasse 113, 3008 Bern",,bern,26.02.2020,,,,1,1,,,,,,,,,,,,,,,,,,,
22944585,Einzelzimmer,300,,,50,,,sofort,,,,,,NaN,"schenkstrasse 27, 3008 Bern",13.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22946123,Wohnung,1560,1230,330,,3,2.Stock,01.04.2020,1,,,,,NaN,"Weissensteinstrasse 38, 3007 Bern",13.02.2020,bern,26.02.2020,,1956,,1,,1,,,,,,,,,,,,,,,,,,
22944589,Wohnung,915,,,,1,,sofort,,,,,,NaN,"Zähringerstrasse 45, 3012 Bern",13.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22939406,Wohnung,1800,1580,220,89,3.5,3.Stock,01.05.2020,,,,500m,,4,"Hüsliackerstrasse 11, 3018 Bern",,bern,26.02.2020,,2009,,,,,,,,500m,,,,,,,,,,,,,,
22941234,Wohnung,1380,1130,250,57,2.5,4.Stock,,,,,,,NaN,3008 Bern,13.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22940683,Wohnung,910,850,60,20,1,1.Stock,nachVereinbarung,1,,,,,NaN,"Holzikofenweg 1, 3007 Bern BE",13.02.2020,bern,26.02.2020,,,1,,1,,,,,,1,,,,,,,,,,,,,
22942586,Wohnung,1350,1160,190,60,2,,01.03.2020,1,1,,,,NaN,"Scheibenstrasse 25, 3014 Bern BE",13.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22940018,Wohnung,2435,2115,320,172,2.5,1.Stock,01.05.2020,,1,,50m,2500m,5,"Hintere Engehaldestrasse 12, 3004 Bern",12.02.2020,bern,26.02.2020,,1991,,,,,450m,3000m,3000m,,,,,,550m³,,,,,,,,,
22943190,Wohnung,1780,1530,250,67,3,1.Stock,01.05.2020,1,,,180m,550m,NaN,"Wabernstrasse 87, 3007 Bern",13.02.2020,bern,26.02.2020,,1950,,1,,1,500m,500m,1000m,4000m,,,,,,,,,,,,,,
22943189,Wohnung,1380,1130,250,57,2.5,4.Stock,01.05.2020,1,,,,,NaN,"Freiburgstrasse 58/L, 3008 Bern",,bern,26.02.2020,,,,,,,,,,,1,,,,,,,,,,,,,
22939433,Wohnung,1495,1360,135,75,3.5,,sofort,1,1,,30m,430m,4,"Brünnenstrasse 43a, 3018 Bern",,bern,26.02.2020,,1964,1,,,1,220m,20m,,,1,,,,,,,,,,,,,
22939382,Wohnung,1430,1190,240,,3,1.Stock,01.06.2020,1,,,100m,500m,NaN,"Keltenstrasse 35, 3018 Bern",,bern,26.02.2020,,,,,1,,,,,700m,,,,,,,,,,,,,,
