,object_type,price,price_wo_extras,extras,size,rooms,floor,moovIn,balcony,lift,public_transport,shopping,rating,adress,publication_date,city,DateofScrapping,age,parking_out,pets_allowed,tv,kids_ok,KG,PS,SS,highway,parking_in
22621887,Wohnung,990.0,840.0,150.0,,1.0,3.0,sofort,,1.0,50.0,100.0,,"Belpstrasse 45, 3007 Bern",,bern,2020-02-26,,,,1.0,,,,,,
22586867,Wohnung,2450.0,,,124.0,3.5,3.0,nachVereinbarung,1.0,1.0,,,,"Stöckackerstrasse 102, 3018 Bern BE",2019-12-12,bern,2020-02-26,,,,1.0,,,,,,1.0
22394497,Wohnung,1690.0,1450.0,240.0,63.0,3.0,2.0,nachVereinbarung,,1.0,,,,"Monbijoustrasse 114, 3007 Bern",2019-12-17,bern,2020-02-26,,,,,,,,,,
22624636,Wohnung,1540.0,1350.0,190.0,59.0,2.5,4.0,01.04.2020,,,,,3.0,"Gutenbergstr. 39, 3011 Bern",2019-12-19,bern,2020-02-26,1934,,1.0,,,,225.0,,,
22716586,Wohnung,1700.0,1450.0,250.0,72.0,3.5,1.0,sofort,1.0,1.0,480.0,530.0,,"Holenackerstrasse 7, 3027 Bern",,bern,2020-02-26,,,,,,260.0,770.0,,,1.0
22789961,Wohnung,1460.0,1250.0,210.0,60.0,3.0,3.0,sofort,1.0,,220.0,330.0,3.0,"Waldmannstrasse 7, 3027 Bern",,bern,2020-02-26,1962,,,1.0,1.0,180.0,190.0,,,
22583828,Wohnung,1365.0,1175.0,190.0,51.0,2.5,5.0,sofort,,1.0,30.0,30.0,4.0,"Brunnmattstrasse 20 A, 3007 Bern",,bern,2020-02-26,1974,,,,,,,,,
22485331,Wohnung,550.0,,,,4.0,,nachVereinbarung,,,,,,3013 Bern BE,2020-01-27,bern,2020-02-26,,,,,,,,,,
22604923,Wohnung,2650.0,2450.0,200.0,98.0,4.0,1.0,01.03.2020,1.0,,,,,"Primelweg 1, 3004 Bern",,bern,2020-02-26,,,1.0,1.0,1.0,,,,,
22919678,Wohnung,1550.0,1350.0,200.0,71.0,2.5,1.0,sofort,1.0,,,,,"Stapfenackerstrasse 50, 3018 Bern",2019-12-11,bern,2020-02-26,,1.0,,,,,,,,
22571175,Attika,3850.0,3330.0,520.0,155.0,5.5,4.0,01.03.2020,1.0,1.0,100.0,100.0,,"Frohbergweg 7, 3012 Bern",,bern,2020-02-26,,,1.0,1.0,1.0,,,,,1.0
22578189,Wohnung,2870.0,2490.0,380.0,,2.0,1.0,sofort,1.0,1.0,,,,"Junkerngasse 16, 3011 Bern",2019-12-11,bern,2020-02-26,,,,,,,,,,1.0
22570932,Wohnung,1330.0,1190.0,140.0,45.0,2.0,3.0,01.03.2020,,,,,3.0,"Buristr. 6, 3006 Bern",2019-12-10,bern,2020-02-26,1967,,1.0,1.0,,,,,,
22579121,Dachwohnung,3060.0,2680.0,380.0,,2.0,4.0,sofort,,1.0,,,,"Junkerngasse 16, 3011 Bern",2019-12-11,bern,2020-02-26,,,,,,,,,,1.0
23025899,Maisonette,2175.0,1900.0,275.0,100.0,3.0,,nachVereinbarung,,,,,,3014 Bern,2019-12-11,bern,2020-02-26,,,,,,,,,,
22568524,Wohnung,1540.0,1300.0,240.0,,3.5,0.0,,1.0,,,,,"Eigerstrasse 6, 3007 Bern",2019-12-09,bern,2020-02-26,,,,,,,,,,
22575321,Wohnung,1555.0,1285.0,270.0,73.0,3.5,4.0,01.03.2020,,,,,4.0,"Spitalackerstrasse 20 a, 3013 Bern",,bern,2020-02-26,1966,,,,,,,,,
22193572,Wohnung,3050.0,2850.0,200.0,140.0,4.5,1.0,15.07.2020,1.0,,,,,"Muristrasse 7, 3006 Bern",2019-12-09,bern,2020-02-26,,1.0,1.0,1.0,,,,,,
22570265,Wohnung,2800.0,2500.0,300.0,110.0,4.5,2.0,nachVereinbarung,1.0,,,,,"Seminarstrasse 11, 3006 Bern",,bern,2020-02-26,,,,,,,,,,
22979611,Wohnung,3850.0,3500.0,350.0,145.0,5.0,3.0,01.04.2020,1.0,1.0,,,,"Dufourstrasse 23, 3005 Bern",,bern,2020-02-26,,,1.0,1.0,,,,,,
23018296,Wohnung,2690.0,2300.0,390.0,143.0,3.0,4.0,15.03.2020,,,,,4.0,"Kramgasse 9, 3011 Bern",2019-12-06,bern,2020-02-26,1900,,,,,,,,,
23025182,Wohnung,300.0,,,,1.0,,nachVereinbarung,,,,,,3011 Bern BE,2019-12-09,bern,2020-02-26,,,,,,,,,,
22856274,Wohnung,2350.0,2100.0,250.0,84.0,2.5,4.0,nachVereinbarung,1.0,1.0,120.0,80.0,,"Dufourstrasse 23, 3005 Bern",,bern,2020-02-26,,,1.0,1.0,,920.0,,,,
22543224,Wohnung,2800.0,2500.0,300.0,134.0,6.0,2.0,nachVereinbarung,1.0,1.0,,,,"Morillonstrasse 16, 3007 Bern",2019-12-05,bern,2020-02-26,,,,,,,,,,
22535127,Wohnung,2295.0,2025.0,270.0,103.0,3.5,3.0,01.04.2020,,,,,5.0,"Weltpoststrasse 8b, 3015 Bern",,bern,2020-02-26,2012,,,,,,,,,
22548756,Attika,2790.0,2600.0,190.0,85.0,3.5,3.0,sofort,,,200.0,800.0,,"Gryphenhübeliweg 28, 3006 Bern",,bern,2020-02-26,1953,,,,,,,,,
22549464,Wohnung,1740.0,1520.0,220.0,70.0,3.0,1.0,01.03.2020,1.0,,50.0,400.0,3.0,"Reiterstrasse 17, 3013 Bern",2019-12-05,bern,2020-02-26,1949,,,,,,,,,
22562918,Wohnung,1200.0,,,25.0,1.5,,01.03.2020,,,,,,3014 Bern,2019-12-09,bern,2020-02-26,,,,,,,,,,
22542085,Wohnung,2800.0,2500.0,300.0,134.0,6.0,2.0,,,,,,,3007 Bern,2019-12-05,bern,2020-02-26,,,,,,,,,,
22940495,Wohnung,1570.0,1320.0,250.0,,3.0,0.0,sofort,1.0,,60.0,150.0,,"Güterstrasse 14, 3008 Bern",2019-12-01,bern,2020-02-26,,,1.0,1.0,1.0,,,,400.0,1.0
22716577,Wohnung,1450.0,1250.0,200.0,50.0,2.5,,01.03.2020,1.0,,100.0,500.0,3.0,"Wylerfeldstrasse 36, 3014 Bern",,bern,2020-02-26,1946,,,,,,,,,
22528880,Wohnung,3870.0,3500.0,370.0,151.0,5.5,2.0,sofort,1.0,1.0,450.0,,,"Wildhainweg 7, 3012 Bern",2019-12-03,bern,2020-02-26,2005,1.0,,1.0,1.0,,,,1300.0,1.0
22517122,Wohnung,1930.0,1630.0,300.0,,3.5,3.0,sofort,1.0,1.0,100.0,100.0,,"Schönburgstrasse 58, 3013 Bern",,bern,2020-02-26,,,,1.0,,,,,1000.0,1.0
22879575,Wohnung,1150.0,1000.0,150.0,49.0,2.0,2.0,sofort,,,,,,"Freiburgstrasse 431, 3018 Bern",2019-12-03,bern,2020-02-26,,,,1.0,,,,,,
22535394,Wohnung,765.0,,,14.0,1.0,2.0,nachVereinbarung,1.0,1.0,,,,"Bethlehemstrasse 171, 3018 Bern BE",2019-12-04,bern,2020-02-26,,,,,,,,,,1.0
22539051,Wohnung,1935.0,1685.0,250.0,78.0,3.5,1.0,sofort,1.0,1.0,,,,"Billeweg 24, 3027 Bern",2019-12-04,bern,2020-02-26,,,1.0,1.0,,,,,,1.0
23018297,Wohnung,1370.0,1180.0,190.0,,2.5,2.0,,,,,,,"Brunngasse 19, 3011 Bern",2019-12-04,bern,2020-02-26,,,,,,,,,,
22881998,Wohnung,1450.0,1250.0,200.0,77.0,3.5,1.0,nachVereinbarung,1.0,,,,,"Freiburgstrasse 431, 3018 Bern",2019-12-03,bern,2020-02-26,,,,1.0,,,,,,
22505369,Dachwohnung,1650.0,1450.0,200.0,,2.5,5.0,sofort,,,5.0,20.0,,"Länggassstrasse 32A, 3012 Bern",,bern,2020-02-26,,,,,,,,,,
22562773,Wohnung,1620.0,1490.0,130.0,50.0,2.0,0.0,01.03.2020,,,50.0,100.0,,"Sonnenhofweg 7, 3006 Bern",,bern,2020-02-26,,,,,,,,,,
22919654,Wohnung,1500.0,1200.0,300.0,,3.5,1.0,sofort,1.0,,,,,"Libellenweg 5, 3006 Bern",2019-11-25,bern,2020-02-26,,1.0,,1.0,,,,,,
22121564,Wohnung,1990.0,1720.0,270.0,75.0,3.5,4.0,sofort,,1.0,,,,"Breitenrainstrasse 27, 3013 Bern",,bern,2020-02-26,,,,,,,,,,
22852017,Dachwohnung,1780.0,1500.0,280.0,65.0,3.0,2.0,nachVereinbarung,1.0,,,,,3007 Bern,2019-11-25,bern,2020-02-26,,1.0,,,,,,,,
22500114,Wohnung,2100.0,1900.0,200.0,77.0,3.5,2.0,01.03.2020,1.0,,,,,"Morillonstrasse 4, 3007 Bern",,bern,2020-02-26,,,,,,,,,,
22513324,Wohnung,1450.0,,,75.0,3.5,,01.03.2020,,,,,,"Schenkstrasse 57, 3008 Bern",2019-12-01,bern,2020-02-26,,,,,,,,,,
23024695,Wohnung,750.0,,,,1.0,,nachVereinbarung,,,,,,3014 Bern BE,2019-11-29,bern,2020-02-26,,,,,,,,,,
22487418,Wohnung,1840.0,1640.0,200.0,85.0,3.5,2.0,nachVereinbarung,1.0,,330.0,1290.0,,"Segantinistrasse 20, 3006 Bern",,bern,2020-02-26,,,,,,120.0,300.0,,,
22456492,Wohnung,840.0,740.0,100.0,27.0,1.0,2.0,sofort,1.0,,100.0,200.0,4.0,"Sonnenhofweg 12, 3006 Bern",,bern,2020-02-26,1952,,,,,,,,,
22458297,Wohnung,2470.0,2200.0,270.0,84.0,3.5,0.0,sofort,,,100.0,300.0,,"Cäcilienstrasse 14, 3007 Bern",2019-11-21,bern,2020-02-26,1916,,,,,500.0,300.0,300.0,,
22778088,Wohnung,2450.0,2200.0,250.0,120.0,3.0,3.0,sofort,,,,,,"Gerechtigkeitsgasse 77, 3011 Bern",2019-11-15,bern,2020-02-26,,,,,,,,,,
22412628,Wohnung,2600.0,2400.0,200.0,112.0,4.0,0.0,,,1.0,,,,"Gutenbergstrasse 27, 3011 Bern",2019-11-14,bern,2020-02-26,,1.0,,1.0,,,,,,
22461911,Wohnung,4550.0,4050.0,500.0,170.0,7.0,1.0,nachVereinbarung,,1.0,,,,"Bernastrasse 57, 3005 Bern",2019-11-22,bern,2020-02-26,,,,,,,,,,
22535492,Wohnung,2100.0,1900.0,200.0,70.0,3.0,3.0,nachVereinbarung,,,,,2.0,"Jubiläumsstrasse 54, 3005 Bern BE",2019-11-21,bern,2020-02-26,1934,,,1.0,,,,,,
22412060,Wohnung,2350.0,2050.0,300.0,,4.5,2.0,sofort,1.0,,,250.0,,"Scharnachtalstrasse 12, 3006 Bern",,bern,2020-02-26,,,,,,,300.0,,,
22709261,Wohnung,1620.0,1400.0,220.0,,3.0,2.0,01.03.2020,1.0,1.0,,,,"Bottigenstrasse 22, 3018 Bern",2019-11-20,bern,2020-02-26,,1.0,,,,,,,,
22716581,Wohnung,1840.0,1640.0,200.0,83.0,3.0,8.0,sofort,1.0,1.0,50.0,50.0,,"Winkelriedstrasse 7, 3014 Bern",,bern,2020-02-26,,,,,,100.0,100.0,250.0,,1.0
22801397,Wohnung,40.0,,,,1.0,,nachVereinbarung,,,,,,3014 Bern BE,2019-11-19,bern,2020-02-26,,,,,,,,,,
22409350,Wohnung,2985.0,2700.0,285.0,,4.0,1.0,nachVereinbarung,1.0,1.0,120.0,10.0,,"Moserstrasse 33, 3014 Bern",,bern,2020-02-26,2019,,,1.0,1.0,620.0,390.0,,,1.0
22440482,Maisonette,1530.0,1340.0,190.0,,2.5,4.0,sofort,,,,,,"Breitenrainstrasse 15, 3013 Bern",2019-11-06,bern,2020-02-26,,,,,,,,,,
22371514,Wohnung,1440.0,1250.0,190.0,,3.0,2.0,sofort,1.0,,210.0,30.0,,"Brünnenstrasse 105, 3018 Bern",,bern,2020-02-26,,,,,,280.0,610.0,,,
22696121,Wohnung,1500.0,1350.0,150.0,60.0,2.5,4.0,nachVereinbarung,,,,,,"Thunstrasse 93, 3006 Bern",,bern,2020-02-26,,,,1.0,,,,,,
22783178,Dachwohnung,3890.0,3540.0,350.0,120.0,5.0,3.0,sofort,1.0,,100.0,250.0,,"Diesbachstrasse 10, 3012 Bern",2019-11-13,bern,2020-02-26,1906,,,1.0,,,,,500.0,
22387120,Wohnung,1390.0,1190.0,200.0,54.0,3.0,3.0,sofort,,,,,,"Untermattweg 76, 3027 Bern",2020-01-15,bern,2020-02-26,,,,1.0,,,,,,
22410815,Wohnung,1515.0,1315.0,200.0,60.0,3.5,3.0,sofort,1.0,,100.0,100.0,4.0,"Egelgasse 70 / 70a, 3006 Bern",,bern,2020-02-26,1961,,,,,,,,,
22568122,Wohnung,1500.0,1300.0,200.0,,2.5,1.0,sofort,1.0,,300.0,700.0,,"Stapfenackerstrasse 50, 3018 Bern",2019-12-11,bern,2020-02-26,,,,1.0,,,200.0,,,1.0
22413228,Wohnung,2950.0,2650.0,300.0,105.0,4.5,0.0,sofort,,,100.0,300.0,,"Cäcilienstrasse 14, 3007 Bern",2019-11-14,bern,2020-02-26,1916,,,,,500.0,300.0,300.0,,
22866995,Wohnung,1700.0,,,,3.0,,nachVereinbarung,,,,,,3007 Bern BE,2019-11-14,bern,2020-02-26,,,,,,,,,,
22349596,Wohnung,1390.0,1190.0,200.0,,3.0,4.0,sofort,1.0,,100.0,100.0,,"Schlossstrasse 125, 3008 Bern",,bern,2020-02-26,,,,,,,,,,
22353841,Wohnung,1470.0,1340.0,130.0,51.0,2.5,5.0,sofort,,,,,,"Mühledorfstrasse 2A, 3018 Bern",,bern,2020-02-26,,,,,,,,,,
22848026,Wohnung,1350.0,1150.0,200.0,,2.5,2.0,sofort,1.0,1.0,,500.0,,"Bahnhöheweg 36, 3018 Bern",,bern,2020-02-26,,1.0,,1.0,,,,,,1.0
22328581,Wohnung,1535.0,1300.0,235.0,61.0,3.0,7.0,sofort,,,200.0,50.0,3.0,"Obermattstr. 16, 3018 Bern",2019-11-01,bern,2020-02-26,1970,,1.0,1.0,1.0,500.0,269.0,3000.0,3000.0,
22334029,Wohnung,1870.0,1610.0,260.0,71.0,2.5,1.0,sofort,1.0,1.0,,,,"Le-Corbusier-Platz 10, 3027 Bern",2019-11-01,bern,2020-02-26,,,,1.0,1.0,,,,,
22328369,Wohnung,1550.0,1290.0,260.0,,3.5,2.0,sofort,1.0,,,,,"Mädergutstrasse 79, 3018 Bern",,bern,2020-02-26,,,,,,,,,,
22578963,Wohnung,600.0,,,,1.0,,nachVereinbarung,,,,,,3007 Bern BE,2019-11-06,bern,2020-02-26,,,,,,,,,,
22346226,Wohnung,2710.0,2400.0,310.0,130.0,4.5,2.0,nachVereinbarung,1.0,,,,4.0,"Muristrasse 59, 3006 Bern",,bern,2020-02-26,1935,,1.0,1.0,,,,,,
22722696,Wohnung,1510.0,1290.0,220.0,75.0,3.0,5.0,sofort,,1.0,100.0,100.0,,"Ostring 14, 3006 Bern",,bern,2020-02-26,,,1.0,,1.0,100.0,200.0,,250.0,
22610220,Wohnung,1490.0,1310.0,180.0,55.0,2.5,3.0,nachVereinbarung,1.0,1.0,200.0,400.0,4.0,"Riedbachstrasse 77, 3027 Bern",2019-11-04,bern,2020-02-26,2017,1.0,,1.0,,750.0,750.0,,600.0,1.0
22326622,Wohnung,1550.0,1290.0,260.0,,3.5,2.0,,,,,,,3018 Bern,2019-11-01,bern,2020-02-26,,,,,,,,,,
22328345,Wohnung,1780.0,1470.0,310.0,92.0,4.5,5.0,01.05.2020,1.0,1.0,,,,"Holenackerstrasse 11, 3027 Bern",2019-11-01,bern,2020-02-26,,,1.0,1.0,1.0,,,,,
22107205,Wohnung,1700.0,,,60.0,3.0,2.0,,,,,,,3006 Bern,2019-10-31,bern,2020-02-26,,,,,,,,,,
22301091,Wohnung,1675.0,1425.0,250.0,74.0,3.5,0.0,nachVereinbarung,1.0,1.0,130.0,75.0,4.0,"Giacomettistrasse 27, 27b, 3006 Bern",2019-10-28,bern,2020-02-26,1956,,1.0,1.0,,950.0,1000.0,700.0,,1.0
22961200,Wohnung,1700.0,1500.0,200.0,,2.5,4.0,01.05.2020,1.0,,,,,"Attinghausenstrasse 11, 3014 Bern",2019-11-01,bern,2020-02-26,,,,,,,,,,
22325244,Attika,2445.0,2180.0,265.0,102.0,4.5,4.0,nachVereinbarung,,,500.0,,3.0,"Hüsliackerstrasse 15, 3018 Bern",,bern,2020-02-26,2009,,,,,,,,500.0,
22304574,Wohnung,1210.0,990.0,220.0,,2.5,4.0,sofort,1.0,,,,,"Looslistrasse 54, 3027 Bern",2019-10-29,bern,2020-02-26,,,,,,,,,,
22716579,Wohnung,1400.0,1200.0,200.0,61.0,2.5,1.0,sofort,1.0,,270.0,550.0,,"Wangenstrasse 43c, 3018 Bern",,bern,2020-02-26,,,,,,1340.0,930.0,,,1.0
22325850,Dachwohnung,1990.0,1710.0,280.0,90.0,3.0,,sofort,,1.0,,,,"Nydeggstalden 10, 3011 Bern",2020-01-15,bern,2020-02-26,,1.0,,,,,,,,
22974344,Dachwohnung,2800.0,2500.0,300.0,88.0,3.5,2.0,sofort,1.0,,240.0,220.0,2.0,"Breitfeldstrasse 41, 3014 Bern",,bern,2020-02-26,2019,,,,,400.0,290.0,,,
22535293,Dachwohnung,2690.0,2450.0,240.0,115.0,4.0,3.0,nachVereinbarung,,,,,,"Rathausgasse 48, 3011 Bern",2019-10-25,bern,2020-02-26,1470,,,1.0,,,,,,
22325049,Wohnung,1700.0,1500.0,200.0,,2.5,4.0,,,,,,,3014 Bern,2019-10-15,bern,2020-02-26,,,,,,,,,,
22245660,Maisonette,2870.0,2650.0,220.0,133.0,2.5,,01.04.2020,,,,,,"Länggassstrasse 10, 3012 Bern",2019-10-18,bern,2020-02-26,,,,,,,,,,
22813817,Wohnung,2180.0,1910.0,270.0,,4.0,3.0,sofort,1.0,1.0,,,,"Buristrasse 18, 3006 Bern",,bern,2020-02-26,,,1.0,1.0,1.0,,,,,1.0
22278582,Wohnung,2208.0,1958.0,250.0,85.0,3.5,2.0,sofort,1.0,1.0,100.0,500.0,4.0,"Rüfenachtweg 6, 3006 Bern",,bern,2020-02-26,2014,,,,1.0,,,,500.0,1.0
22223188,Maisonette,3215.0,2915.0,300.0,110.0,4.5,,sofort,1.0,,,,,"Bitziusstrasse 51, 3006 Bern",,bern,2020-02-26,,1.0,,,,,,,,
22174564,Dachwohnung,2870.0,2570.0,300.0,,5.5,2.0,sofort,,,100.0,100.0,,"Mülinenstrasse, 3006 Bern",,bern,2020-02-26,,,,1.0,,,,,,
22716587,Wohnung,1400.0,1200.0,200.0,61.0,2.5,1.0,sofort,1.0,,290.0,570.0,,"Wangenstrasse 41b, 3018 Bern",,bern,2020-02-26,,,,,,1000.0,960.0,,,1.0
22289612,Wohnung,1590.0,1390.0,200.0,57.0,2.0,5.0,sofort,,,,,,"Winkelriedstrasse 48, 3014 Bern",2019-10-26,bern,2020-02-26,,,,,,,,,,
22165824,Wohnung,2260.0,1900.0,360.0,105.0,4.5,13.0,sofort,1.0,1.0,,,,"Bahnstrasse 99 Miete, 3008 Bern BE",2019-10-07,bern,2020-02-26,,,1.0,1.0,1.0,,,,,
22113363,Wohnung,3850.0,3500.0,350.0,180.0,5.5,,sofort,,1.0,200.0,100.0,3.0,"Morellweg 6, 3007 Bern",2019-09-27,bern,2020-02-26,1906,,,,,,,,,
22162875,Wohnung,3200.0,,,120.0,4.5,,sofort,,,,,,"Amselweg 19, 3012 Bern",2019-10-06,bern,2020-02-26,,,,,,,,,,
22174663,Wohnung,1360.0,1140.0,220.0,58.0,2.0,1.0,nachVereinbarung,1.0,,30.0,50.0,4.0,"Ostring 77, 3006 Bern",2019-10-08,bern,2020-02-26,1945,,1.0,1.0,,650.0,500.0,500.0,,
22704023,Dachwohnung,270.0,,,,1.0,,nachVereinbarung,,,,,,3012 Bern BE,2019-09-27,bern,2020-02-26,,,,,,,,,,
23024429,Wohnung,1990.0,,,80.0,2.5,,01.05.2020,,,,,,"Funkerstrasse 25, 3013 Bern",2019-10-03,bern,2020-02-26,,,,,,,,,,
22166496,Wohnung,2260.0,1900.0,360.0,105.0,4.5,13.0,sofort,1.0,1.0,,,,"Bahnstrasse 99 Miete, 3008 Bern",2019-10-07,bern,2020-02-26,,,1.0,1.0,1.0,,,,,
22102056,Loft,3000.0,2600.0,400.0,178.0,2.0,2.0,sofort,1.0,1.0,350.0,630.0,,"Winterholzstrasse 55, 3018 Bern",,bern,2020-02-26,,,1.0,1.0,,460.0,340.0,,1800.0,1.0
22169278,Wohnung,1975.0,1630.0,345.0,89.0,4.5,9.0,nachVereinbarung,,,200.0,50.0,3.0,"Obermattstr. 16, 3018 Bern",2019-10-07,bern,2020-02-26,1970,,1.0,1.0,1.0,500.0,269.0,3000.0,3000.0,
22282746,Wohnung,2950.0,2650.0,300.0,103.0,4.0,2.0,sofort,1.0,1.0,100.0,100.0,,"Waaghausgasse 5, 3011 Bern",,bern,2020-02-26,,,,1.0,,,,,,
22075997,Wohnung,1210.0,980.0,230.0,,2.5,4.0,01.03.2020,,,,,,"Looslistrasse 50, 3027 Bern",2019-09-23,bern,2020-02-26,,,,,,,,,,
22690489,Wohnung,2040.0,1900.0,140.0,,2.0,2.0,sofort,1.0,,190.0,3270.0,,"Kramgasse 39, 3011 Bern",,bern,2020-02-26,1700,,,,,3840.0,,,,
22434945,Wohnung,1730.0,1350.0,380.0,,2.5,,nachVereinbarung,1.0,,20.0,650.0,,"Ostring 36/ 38, 3006 Bern",,bern,2020-02-26,,,,1.0,1.0,840.0,840.0,,40.0,
22051276,Wohnung,2340.0,2010.0,330.0,117.0,1.0,0.0,sofort,,1.0,,,,"Hardeggerstrasse 12, 3008 Bern",,bern,2020-02-26,,,,,,,,,,
22938265,Studio,855.0,830.0,25.0,17.0,1.0,2.0,01.04.2020,,,250.0,500.0,,"Rathausgasse 45, 3011 Bern",,bern,2020-02-26,,,1.0,,,500.0,500.0,500.0,,
22839517,Wohnung,2400.0,,,100.0,4.5,,sofort,,,,,,"Billeweg 8, 3027 Bern",2019-09-23,bern,2020-02-26,,,,,,,,,,
22093542,Wohnung,1645.0,1380.0,265.0,69.0,3.5,2.0,sofort,1.0,1.0,,,4.0,"Obere Zollgasse 92, 3006 Bern",2019-09-25,bern,2020-02-26,1973,,,,,,,,,
22091417,Wohnung,1645.0,1380.0,265.0,69.0,3.5,2.0,,,,,,,3006 Bern,2019-09-25,bern,2020-02-26,,,,,,,,,,
22048431,Wohnung,2340.0,2010.0,330.0,117.0,1.0,,,,,,,,3008 Bern,2019-09-18,bern,2020-02-26,,,,,,,,,,
22075998,Wohnung,1290.0,1060.0,230.0,,3.5,1.0,sofort,,,,,,"Looslistrasse 50, 3027 Bern",2019-09-23,bern,2020-02-26,,,,,,,,,,
21831302,Wohnung,1960.0,1780.0,180.0,70.0,2.5,,01.04.2020,1.0,1.0,300.0,300.0,4.0,"Weltpoststrasse 1A, 3015 Bern",2019-08-15,bern,2020-02-26,2020,,1.0,,,600.0,700.0,700.0,1000.0,1.0
22021641,Wohnung,2000.0,1720.0,280.0,89.0,4.5,13.0,nachVereinbarung,,,200.0,50.0,3.0,"Obermattstr. 16, 3018 Bern",2019-09-13,bern,2020-02-26,1970,,1.0,1.0,1.0,500.0,269.0,3000.0,3000.0,
20460607,Maisonette,2990.0,2760.0,230.0,130.0,4.5,4.0,nachVereinbarung,,,,,3.0,"Lorrainestrasse 8a, 3013 Bern",2019-09-11,bern,2020-02-26,1895,,,,,,,,,
22716594,Wohnung,1430.0,1230.0,200.0,62.0,2.5,1.0,sofort,1.0,,100.0,380.0,,"Wangenstrasse 49, 3018 Bern",,bern,2020-02-26,,,,,,1180.0,770.0,,500.0,1.0
22925669,Wohnung,1530.0,1350.0,180.0,71.0,3.0,1.0,16.05.2020,1.0,,30.0,100.0,,"Laubeggstrasse 139, 3006 Bern",,bern,2020-02-26,,,,,,950.0,950.0,,,
21822678,Wohnung,4450.0,4180.0,270.0,123.0,4.5,5.0,01.04.2020,1.0,1.0,300.0,300.0,,"Weltpoststrasse 1, 3015 Bern",2019-08-14,bern,2020-02-26,2020,,1.0,,,600.0,700.0,700.0,1000.0,1.0
20823056,Dachwohnung,1945.0,1750.0,195.0,75.0,3.0,,sofort,,,,,,"Brunngasse 50, 3011 Bern",,bern,2020-02-26,,,,,,,,,,
22234055,Wohnung,1490.0,1310.0,180.0,,3.0,,sofort,1.0,,100.0,100.0,,"Laubeggstrasse 139, 3006 Bern",,bern,2020-02-26,,,,1.0,,,,,,
21822676,Wohnung,3890.0,3520.0,370.0,147.0,5.5,,01.04.2020,1.0,1.0,300.0,300.0,4.0,"Weltpoststrasse 1B, 3015 Bern",2019-08-14,bern,2020-02-26,2020,,1.0,,1.0,600.0,700.0,700.0,1000.0,1.0
21988062,Dachwohnung,2400.0,1980.0,420.0,65.0,2.0,4.0,sofort,,1.0,300.0,50.0,,"Zeughausgasse 27, Wohnungen, 3011 Bern",2019-09-09,bern,2020-02-26,1927,,,1.0,,1000.0,2800.0,2800.0,,
22965465,Dachwohnung,250.0,220.0,30.0,,1.0,4.0,01.05.2020,,,1.0,100.0,,"Morillonstrasse 6, 3007 Bern",2019-08-13,bern,2020-02-26,1932,,,,,250.0,250.0,250.0,,
21728072,Wohnung,2480.0,2080.0,400.0,116.0,3.5,1.0,sofort,1.0,1.0,,,,"Le-Corbusier-Platz 12, 3027 Bern",2019-07-29,bern,2020-02-26,,,,1.0,1.0,,,,,
21822674,Wohnung,2930.0,2660.0,270.0,105.0,4.5,1.0,01.04.2020,1.0,1.0,300.0,300.0,4.0,"Weltpoststrasse 1A, 3015 Bern",2019-08-14,bern,2020-02-26,2020,,1.0,,1.0,600.0,700.0,700.0,1000.0,1.0
21786260,Wohnung,1760.0,1550.0,210.0,,3.0,,sofort,1.0,,,,,"Heckenweg 41, 3007 Bern",2019-08-08,bern,2020-02-26,1960,,,,,,,,,
22984740,Wohnung,2540.0,2290.0,250.0,68.0,2.5,1.0,sofort,1.0,,,,,"Weststrasse 26, 3005 Bern",,bern,2020-02-26,1995,,,,,,,,,
21480256,Wohnung,1804.0,1524.0,280.0,90.0,3.0,3.0,nachVereinbarung,,,,,,"Bolligenstrasse 46 A, 3006 Bern",2019-06-20,bern,2020-02-26,,,,,,,,,,
22716595,Wohnung,1420.0,1250.0,170.0,53.0,2.5,2.0,sofort,1.0,,150.0,140.0,3.0,"Wylerfeldstrasse 38, 3014 Bern",,bern,2020-02-26,1946,,,,,130.0,240.0,,,
21288148,Wohnung,2750.0,2500.0,250.0,85.0,2.5,4.0,sofort,,,,,,"Rathausgasse 68, 3011 Bern",2019-07-02,bern,2020-02-26,,,,,,,,,,
21805866,Wohnung,1810.0,1640.0,170.0,64.0,2.5,,sofort,1.0,1.0,300.0,300.0,4.0,"Weltpoststrasse 3A, 3015 Bern",2019-08-12,bern,2020-02-26,2019,,1.0,,,600.0,700.0,700.0,1000.0,1.0
21717612,Wohnung,1310.0,1130.0,180.0,41.0,2.0,,sofort,1.0,,,,,"Bethlehemstrasse 128, 3018 Bern",,bern,2020-02-26,,,,,,,,,,
21373623,Loft,2190.0,1950.0,240.0,98.0,2.0,-1.0,nachVereinbarung,,,,,,"Mühlemattstrasse 55, 3007 Bern",,bern,2020-02-26,,,,,,,,,,
21867110,Wohnung,1925.0,1600.0,325.0,87.0,3.5,1.0,sofort,1.0,1.0,,,4.0,3027 Bern BE,2019-03-13,bern,2020-02-26,2008,1.0,1.0,1.0,,,,,,
22174563,Wohnung,1450.0,1290.0,160.0,,2.5,2.0,sofort,1.0,,100.0,100.0,,"Zelgstrasse 29, 3027 Bern",2019-03-14,bern,2020-02-26,,,,,,,,,500.0,
